Entry;Entry name;Status;Protein names;Gene names;Organism
Q10588;BST1_HUMAN;reviewed;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (CD antigen CD157);BST1;Homo sapiens (Human)
P06731;CEAM5_HUMAN;reviewed;Carcinoembryonic antigen-related cell adhesion molecule 5 (Carcinoembryonic antigen) (CEA) (Meconium antigen 100) (CD antigen CD66e);CEACAM5 CEA;Homo sapiens (Human)
Q6ZVN8;RGMC_HUMAN;reviewed;Hemojuvelin (Hemochromatosis type 2 protein) (RGM domain family member C);HFE2 HJV RGMC;Homo sapiens (Human)
P21589;5NTD_HUMAN;reviewed;5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73);NT5E NT5 NTE;Homo sapiens (Human)
Q9BZR6;RTN4R_HUMAN;reviewed;Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor);RTN4R NOGOR UNQ330/PRO526;Homo sapiens (Human)
P35052;GPC1_HUMAN;reviewed;Glypican-1 [Cleaved into: Secreted glypican-1];GPC1;Homo sapiens (Human)
P20827;EFNA1_HUMAN;reviewed;Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) (Tumor necrosis factor alpha-induced protein 4) (TNF alpha-induced protein 4) [Cleaved into: Ephrin-A1, secreted form];EFNA1 EPLG1 LERK1 TNFAIP4;Homo sapiens (Human)
P25063;CD24_HUMAN;reviewed;Signal transducer CD24 (Small cell lung carcinoma cluster 4 antigen) (CD antigen CD24);CD24 CD24A;Homo sapiens (Human)
Q6YHK3;CD109_HUMAN;reviewed;CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109);CD109 CPAMD7;Homo sapiens (Human)
Q92485;ASM3B_HUMAN;reviewed;Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-);SMPDL3B ASML3B;Homo sapiens (Human)
O95971;BY55_HUMAN;reviewed;CD160 antigen (Natural killer cell receptor BY55) (CD antigen CD160);CD160 BY55;Homo sapiens (Human)
P14384;CBPM_HUMAN;reviewed;Carboxypeptidase M (CPM) (EC 3.4.17.12);CPM;Homo sapiens (Human)
Q8N6Q3;CD177_HUMAN;reviewed;CD177 antigen (Human neutrophil alloantigen 2a) (HNA-2a) (NB1 glycoprotein) (NB1 GP) (Polycythemia rubra vera protein 1) (PRV-1) (CD antigen CD177);CD177 NB1 PRV1 UNQ595/PRO1181;Homo sapiens (Human)
P31997;CEAM8_HUMAN;reviewed;Carcinoembryonic antigen-related cell adhesion molecule 8 (CD67 antigen) (Carcinoembryonic antigen CGM6) (Non-specific cross-reacting antigen NCA-95) (CD antigen CD66b);CEACAM8 CGM6;Homo sapiens (Human)
P09326;CD48_HUMAN;reviewed;CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48);CD48 BCM1 BLAST1;Homo sapiens (Human)
P31358;CD52_HUMAN;reviewed;CAMPATH-1 antigen (CDw52) (Cambridge pathology 1 antigen) (Epididymal secretory protein E5) (Human epididymis-specific protein 5) (He5) (CD antigen CD52);CD52 CDW52 HE5;Homo sapiens (Human)
Q14002;CEAM7_HUMAN;reviewed;Carcinoembryonic antigen-related cell adhesion molecule 7 (Carcinoembryonic antigen CGM2);CEACAM7 CGM2;Homo sapiens (Human)
P40199;CEAM6_HUMAN;reviewed;Carcinoembryonic antigen-related cell adhesion molecule 6 (Non-specific crossreacting antigen) (Normal cross-reacting antigen) (CD antigen CD66c);CEACAM6 NCA;Homo sapiens (Human)
Q8IVL8;CBPO_HUMAN;reviewed;Carboxypeptidase O (CPO) (EC 3.4.17.-);CPO;Homo sapiens (Human)
P0CG37;CFC1_HUMAN;reviewed;Cryptic protein (Cryptic family protein 1);CFC1;Homo sapiens (Human)
Q02246;CNTN2_HUMAN;reviewed;Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1);CNTN2 AXT TAG1 TAX1;Homo sapiens (Human)
P26992;CNTFR_HUMAN;reviewed;Ciliary neurotrophic factor receptor subunit alpha (CNTF receptor subunit alpha) (CNTFR-alpha);CNTFR;Homo sapiens (Human)
O94779;CNTN5_HUMAN;reviewed;Contactin-5 (Neural recognition molecule NB-2) (hNB-2);CNTN5;Homo sapiens (Human)
Q9UQ52;CNTN6_HUMAN;reviewed;Contactin-6 (Neural recognition molecule NB-3) (hNB-3);CNTN6;Homo sapiens (Human)
Q8IWV2;CNTN4_HUMAN;reviewed;Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2);CNTN4;Homo sapiens (Human)
Q12860;CNTN1_HUMAN;reviewed;Contactin-1 (Glycoprotein gp135) (Neural cell surface protein F3);CNTN1;Homo sapiens (Human)
Q9P232;CNTN3_HUMAN;reviewed;Contactin-3 (Brain-derived immunoglobulin superfamily protein 1) (BIG-1) (Plasmacytoma-associated neuronal glycoprotein);CNTN3 KIAA1496 PANG;Homo sapiens (Human)
Q9H4A9;DPEP2_HUMAN;reviewed;Dipeptidase 2 (EC 3.4.13.19);DPEP2 UNQ284/PRO323;Homo sapiens (Human)
Q9H4B8;DPEP3_HUMAN;reviewed;Dipeptidase 3 (EC 3.4.13.19);DPEP3 UNQ834/PRO1772;Homo sapiens (Human)
P52798;EFNA4_HUMAN;reviewed;Ephrin-A4 (EPH-related receptor tyrosine kinase ligand 4) (LERK-4);EFNA4 EPLG4 LERK4;Homo sapiens (Human)
O43921;EFNA2_HUMAN;reviewed;Ephrin-A2 (EPH-related receptor tyrosine kinase ligand 6) (LERK-6) (HEK7 ligand) (HEK7-L);EFNA2 EPLG6 LERK6;Homo sapiens (Human)
P52803;EFNA5_HUMAN;reviewed;Ephrin-A5 (AL-1) (EPH-related receptor tyrosine kinase ligand 7) (LERK-7);EFNA5 EPLG7 LERK7;Homo sapiens (Human)
P52797;EFNA3_HUMAN;reviewed;Ephrin-A3 (EFL-2) (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3);EFNA3 EFL2 EPLG3 LERK3;Homo sapiens (Human)
Q6UWR7;ENPP6_HUMAN;reviewed;Ectonucleotide pyrophosphatase/phosphodiesterase family member 6 (E-NPP 6) (NPP-6) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Glycerophosphocholine cholinephosphodiesterase) (GPC-Cpde);ENPP6 UNQ1889/PRO4334;Homo sapiens (Human)
O75015;FCG3B_HUMAN;reviewed;Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta) (Fc-gamma RIII) (Fc-gamma RIIIb) (FcRIII) (FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b);FCGR3B CD16B FCG3 FCGR3 IGFR3;Homo sapiens (Human)
P14207;FOLR2_HUMAN;reviewed;Folate receptor beta (FR-beta) (Folate receptor 2) (Folate receptor, fetal/placental) (Placental folate-binding protein) (FBP);FOLR2;Homo sapiens (Human)
P54826;GAS1_HUMAN;reviewed;Growth arrest-specific protein 1 (GAS-1);GAS1;Homo sapiens (Human)
Q9GZZ7;GFRA4_HUMAN;reviewed;GDNF family receptor alpha-4 (GDNF receptor alpha-4) (GDNFR-alpha-4) (GFR-alpha-4) (Persephin receptor);GFRA4;Homo sapiens (Human)
P56159;GFRA1_HUMAN;reviewed;GDNF family receptor alpha-1 (GDNF receptor alpha-1) (GDNFR-alpha-1) (GFR-alpha-1) (RET ligand 1) (TGF-beta-related neurotrophic factor receptor 1);GFRA1 GDNFRA RETL1 TRNR1;Homo sapiens (Human)
O00451;GFRA2_HUMAN;reviewed;GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2);GFRA2 GDNFRB RETL2 TRNR2;Homo sapiens (Human)
O60609;GFRA3_HUMAN;reviewed;GDNF family receptor alpha-3 (GDNF receptor alpha-3) (GDNFR-alpha-3) (GFR-alpha-3);GFRA3 UNQ339/PRO538/PRO3664;Homo sapiens (Human)
Q9Y625;GPC6_HUMAN;reviewed;Glypican-6 [Cleaved into: Secreted glypican-6];GPC6 UNQ369/PRO705;Homo sapiens (Human)
Q99445;GML_HUMAN;reviewed;Glycosyl-phosphatidylinositol-anchored molecule-like protein;GML LY6DL;Homo sapiens (Human)
O75487;GPC4_HUMAN;reviewed;Glypican-4 (K-glypican) [Cleaved into: Secreted glypican-4];GPC4 UNQ474/PRO937;Homo sapiens (Human)
P78333;GPC5_HUMAN;reviewed;Glypican-5 [Cleaved into: Secreted glypican-5];GPC5;Homo sapiens (Human)
P55259;GP2_HUMAN;reviewed;Pancreatic secretory granule membrane major glycoprotein GP2 (Pancreatic zymogen granule membrane protein GP-2) (ZAP75);GP2;Homo sapiens (Human)
P19256;LFA3_HUMAN;reviewed;Lymphocyte function-associated antigen 3 (Ag3) (Surface glycoprotein LFA-3) (CD antigen CD58);CD58 LFA3;Homo sapiens (Human)
P13591;NCAM1_HUMAN;reviewed;Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56);NCAM1 NCAM;Homo sapiens (Human)
Q9BZM6;N2DL1_HUMAN;reviewed;NKG2D ligand 1 (N2DL-1) (NKG2DL1) (ALCAN-beta) (Retinoic acid early transcript 1I) (UL16-binding protein 1);ULBP1 N2DL1 RAET1I;Homo sapiens (Human)
Q7Z3B1;NEGR1_HUMAN;reviewed;Neuronal growth regulator 1 (IgLON family member 4);NEGR1 IGLON4 UNQ2433/PRO4993;Homo sapiens (Human)
Q9NPD7;NRN1_HUMAN;reviewed;Neuritin;NRN1 NRN;Homo sapiens (Human)
Q9P121;NTRI_HUMAN;reviewed;Neurotrimin (hNT) (IgLON family member 2);NTM IGLON2 NT UNQ297/PRO337;Homo sapiens (Human)
Q496H8;NRN1L_HUMAN;reviewed;Neuritin-like protein;NRN1L UNQ2446/PRO5725;Homo sapiens (Human)
Q9Y2I2;NTNG1_HUMAN;reviewed;Netrin-G1 (Laminet-1);NTNG1 KIAA0976 LMNT1 UNQ571/PRO1133;Homo sapiens (Human)
Q96CW9;NTNG2_HUMAN;reviewed;Netrin-G2 (Laminet-2);NTNG2 KIAA1857 LMNT2 UNQ9381/PRO34206;Homo sapiens (Human)
Q8N158;GPC2_HUMAN;reviewed;Glypican-2 [Cleaved into: Secreted glypican-2];GPC2;Homo sapiens (Human)
P51654;GPC3_HUMAN;reviewed;Glypican-3 (GTR2-2) (Intestinal protein OCI-5) (MXR7) [Cleaved into: Secreted glypican-3];GPC3 OCI5;Homo sapiens (Human)
P38567;HYALP_HUMAN;reviewed;Hyaluronidase PH-20 (Hyal-PH20) (EC 3.2.1.35) (Hyaluronoglucosaminidase PH-20) (Sperm adhesion molecule 1) (Sperm surface protein PH-20);SPAM1 HYAL3 PH20;Homo sapiens (Human)
Q8WWA0;ITLN1_HUMAN;reviewed;Intelectin-1 (ITLN-1) (Endothelial lectin HL-1) (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor) (Omentin);ITLN1 INTL ITLN LFR UNQ640/PRO1270;Homo sapiens (Human)
A6ND01;JUNO_HUMAN;reviewed;Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO);IZUMO1R FOLR4 JUNO;Homo sapiens (Human)
Q8NI32;LPD6B_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 6B;LYPD6B;Homo sapiens (Human)
Q13449;LSAMP_HUMAN;reviewed;Limbic system-associated membrane protein (LSAMP) (IgLON family member 3);LSAMP IGLON3 LAMP;Homo sapiens (Human)
Q86Y78;LYPD6_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 6;LYPD6 UNQ3023/PRO9821;Homo sapiens (Human)
Q6UWN0;LYPD4_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 4;LYPD4 UNQ2552/PRO6181;Homo sapiens (Human)
Q17RY6;LY6K_HUMAN;reviewed;Lymphocyte antigen 6K (Ly-6K);LY6K CO16;Homo sapiens (Human)
H3BQJ8;LY6L_HUMAN;reviewed;Lymphocyte antigen 6L (Lymphocyte antigen 6 complex locus protein L);LY6L;Homo sapiens (Human)
O95868;LY66D_HUMAN;reviewed;Lymphocyte antigen 6 complex locus protein G6d (Protein Ly6-D) (Megakaryocyte-enhanced gene transcript 1 protein);LY6G6D C6orf23 G6D MEGT1 NG25;Homo sapiens (Human)
Q16553;LY6E_HUMAN;reviewed;Lymphocyte antigen 6E (Ly-6E) (Retinoic acid-induced gene E protein) (RIG-E) (Stem cell antigen 2) (SCA-2) (Thymic shared antigen 1) (TSA-1);LY6E 9804 RIGE SCA2 TSA1;Homo sapiens (Human)
O95274;LYPD3_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4);LYPD3 C4.4A UNQ491/PRO1007;Homo sapiens (Human)
Q9ULZ9;MMP17_HUMAN;reviewed;Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP);MMP17 MT4MMP;Homo sapiens (Human)
Q14210;LY6D_HUMAN;reviewed;Lymphocyte antigen 6D (Ly-6D) (E48 antigen);LY6D E48;Homo sapiens (Human)
O94772;LY6H_HUMAN;reviewed;Lymphocyte antigen 6H (Ly-6H);LY6H;Homo sapiens (Human)
Q9BZG9;LYNX1_HUMAN;reviewed;Ly-6/neurotoxin-like protein 1 (Secreted Ly-6/uPAR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2);LYNX1 SLURP2;Homo sapiens (Human)
Q6UXB3;LYPD2_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 2;LYPD2 LYPDC2 UNQ430/PRO788;Homo sapiens (Human)
Q7Z553;MDGA2_HUMAN;reviewed;MAM domain-containing glycosylphosphatidylinositol anchor protein 2 (MAM domain-containing protein 1);MDGA2 MAMDC1 UNQ8188/PRO23197;Homo sapiens (Human)
O95867;LY66C_HUMAN;reviewed;Lymphocyte antigen 6 complex locus protein G6c;LY6G6C C6orf24 G6C NG24 UNQ1947/PRO4430;Homo sapiens (Human)
Q8N2G4;LYPD1_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 1 (Putative HeLa tumor suppressor) (PHTS);LYPD1 LYPDC1 PSEC0181 UNQ3079/PRO9917;Homo sapiens (Human)
Q8NFP4;MDGA1_HUMAN;reviewed;MAM domain-containing glycosylphosphatidylinositol anchor protein 1 (GPI and MAM protein) (GPIM) (Glycosylphosphatidylinositol-MAM) (MAM domain-containing protein 3);MDGA1 MAMDC3;Homo sapiens (Human)
Q6UWN5;LYPD5_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 5;LYPD5 UNQ1908/PRO4356;Homo sapiens (Human)
Q6UX82;LYPD8_HUMAN;reviewed;Ly6/PLAUR domain-containing protein 8;LYPD8 UNQ511/PRO1026;Homo sapiens (Human)
Q9NPA2;MMP25_HUMAN;reviewed;Matrix metalloproteinase-25 (MMP-25) (EC 3.4.24.-) (Leukolysin) (Membrane-type matrix metalloproteinase 6) (MT-MMP 6) (MTMMP6) (Membrane-type-6 matrix metalloproteinase) (MT6-MMP) (MT6MMP);MMP25 MMP20 MMPL1 MT6MMP;Homo sapiens (Human)
Q13421;MSLN_HUMAN;reviewed;"Mesothelin (CAK1 antigen) (Pre-pro-megakaryocyte-potentiating factor) [Cleaved into: Megakaryocyte-potentiating factor (MPF); Mesothelin, cleaved form]";MSLN MPF;Homo sapiens (Human)
Q9BZM4;N2DL3_HUMAN;reviewed;NKG2D ligand 3 (N2DL-3) (NKG2DL3) (ALCAN-gamma) (Retinoic acid early transcript 1N);ULBP3 N2DL3 RAET1N;Homo sapiens (Human)
Q9BZM5;N2DL2_HUMAN;reviewed;NKG2D ligand 2 (N2DL-2) (NKG2DL2) (ALCAN-alpha) (Retinoic acid early transcript 1H) (UL16-binding protein 2);ULBP2 N2DL2 RAET1H UNQ463/PRO791;Homo sapiens (Human)
Q13508;NAR3_HUMAN;reviewed;Ecto-ADP-ribosyltransferase 3 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 3) (ARTC3) (Mono(ADP-ribosyl)transferase 3) (NAD(P)(+)--arginine ADP-ribosyltransferase 3);ART3 TMART;Homo sapiens (Human)
P52961;NAR1_HUMAN;reviewed;GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 1) (ARTC1) (Mono(ADP-ribosyl)transferase 1) (CD antigen CD296);ART1;Homo sapiens (Human)
Q93070;NAR4_HUMAN;reviewed;Ecto-ADP-ribosyltransferase 4 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 4) (ARTC4) (Dombrock blood group carrier molecule) (Mono(ADP-ribosyl)transferase 4) (NAD(P)(+)--arginine ADP-ribosyltransferase 4) (CD antigen CD297);ART4 DO DOK1;Homo sapiens (Human)
P23515;OMGP_HUMAN;reviewed;Oligodendrocyte-myelin glycoprotein;OMG OMGP;Homo sapiens (Human)
Q7RTW8;OTOAN_HUMAN;reviewed;Otoancorin;OTOA;Homo sapiens (Human)
Q14982;OPCM_HUMAN;reviewed;Opioid-binding protein/cell adhesion molecule (OBCAM) (OPCML) (Opioid-binding cell adhesion molecule) (IgLON family member 1);OPCML IGLON1 OBCAM;Homo sapiens (Human)
Q96GW7;PGCB_HUMAN;reviewed;Brevican core protein (Brain-enriched hyaluronan-binding protein) (BEHAB) (Chondroitin sulfate proteoglycan 7);BCAN BEHAB CSPG7 UNQ2525/PRO6018;Homo sapiens (Human)
Q6UQ28;PLET1_HUMAN;reviewed;Placenta-expressed transcript 1 protein;PLET1 C11orf34;Homo sapiens (Human)
P09923;PPBI_HUMAN;reviewed;Intestinal-type alkaline phosphatase (IAP) (Intestinal alkaline phosphatase) (EC 3.1.3.1);ALPI;Homo sapiens (Human)
P10696;PPBN_HUMAN;reviewed;Alkaline phosphatase, placental-like (EC 3.1.3.1) (ALP-1) (Alkaline phosphatase Nagao isozyme) (Germ cell alkaline phosphatase) (GCAP) (Placental alkaline phosphatase-like) (PLAP-like);ALPPL2 ALPPL;Homo sapiens (Human)
Q9UKY0;PRND_HUMAN;reviewed;Prion-like protein doppel (PrPLP) (Prion protein 2);PRND DPL UNQ1830/PRO3443;Homo sapiens (Human)
P05187;PPB1_HUMAN;reviewed;Alkaline phosphatase, placental type (EC 3.1.3.1) (Alkaline phosphatase Regan isozyme) (Placental alkaline phosphatase 1) (PLAP-1);ALPP PLAP;Homo sapiens (Human)
Q7RTY9;PRS41_HUMAN;reviewed;Serine protease 41 (EC 3.4.21.-) (Testis serine protease 1) (TESSP-1);PRSS41 TESSP1;Homo sapiens (Human)
O43653;PSCA_HUMAN;reviewed;Prostate stem cell antigen;PSCA UNQ206/PRO232;Homo sapiens (Human)
Q86UN2;R4RL1_HUMAN;reviewed;Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3);RTN4RL1 NGRH2 NGRL2;Homo sapiens (Human)
Q86UN3;R4RL2_HUMAN;reviewed;Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2);RTN4RL2 NGRH1 NGRL3;Homo sapiens (Human)
Q5VY80;RET1L_HUMAN;reviewed;Retinoic acid early transcript 1L protein;RAET1L;Homo sapiens (Human)
O95980;RECK_HUMAN;reviewed;Reversion-inducing cysteine-rich protein with Kazal motifs (hRECK) (Suppressor of tumorigenicity 15 protein);RECK ST15;Homo sapiens (Human)
Q96B86;RGMA_HUMAN;reviewed;Repulsive guidance molecule A (RGM domain family member A);RGMA RGM;Homo sapiens (Human)
Q6NW40;RGMB_HUMAN;reviewed;RGM domain family member B (DRG11-responsive axonal guidance and outgrowth of neurite) (DRAGON);RGMB;Homo sapiens (Human)
Q6H3X3;RET1G_HUMAN;reviewed;Retinoic acid early transcript 1G protein (UL-16 binding protein 5) (ULBP5);RAET1G;Homo sapiens (Human)
Q8TDM5;SACA4_HUMAN;reviewed;Sperm acrosome membrane-associated protein 4 (Sperm acrosomal membrane-associated protein 14);SPACA4 SAMP14 UNQ3046/PRO9862;Homo sapiens (Human)
O75326;SEM7A_HUMAN;reviewed;Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108);SEMA7A CD108 SEMAL;Homo sapiens (Human)
Q5BIV9;SPRN_HUMAN;reviewed;Shadow of prion protein (Protein shadoo);SPRN SHO;Homo sapiens (Human)
O14798;TR10C_HUMAN;reviewed;Tumor necrosis factor receptor superfamily member 10C (Antagonist decoy receptor for TRAIL/Apo-2L) (Decoy TRAIL receptor without death domain) (Decoy receptor 1) (DcR1) (Lymphocyte inhibitor of TRAIL) (TNF-related apoptosis-inducing ligand receptor 3) (TRAIL receptor 3) (TRAIL-R3) (TRAIL receptor without an intracellular domain) (CD antigen CD263);TNFRSF10C DCR1 LIT TRAILR3 TRID UNQ321/PRO366;Homo sapiens (Human)
O43280;TREA_HUMAN;reviewed;Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase);TREH TREA;Homo sapiens (Human)
Q96PL2;TECTB_HUMAN;reviewed;Beta-tectorin;TECTB;Homo sapiens (Human)
Q9Y6M0;TEST_HUMAN;reviewed;Testisin (EC 3.4.21.-) (Eosinophil serine protease 1) (ESP-1) (Serine protease 21);PRSS21 ESP1 TEST1 UNQ266/PRO303;Homo sapiens (Human)
P10646;TFPI1_HUMAN;reviewed;Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI);TFPI LACI TFPI1;Homo sapiens (Human)
P04216;THY1_HUMAN;reviewed;Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90);THY1;Homo sapiens (Human)
O75443;TECTA_HUMAN;reviewed;Alpha-tectorin;TECTA;Homo sapiens (Human)
P08582;TRFM_HUMAN;reviewed;Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228);MELTF MAP97 MFI2;Homo sapiens (Human)
Q9BY14;TX101_HUMAN;reviewed;Testis-expressed protein 101 (Cell surface receptor NYD-SP8) (Scleroderma-associated autoantigen) (Spermatogenesis-related gene protein);TEX101 SGRG UNQ867/PRO1884;Homo sapiens (Human)
O95498;VNN2_HUMAN;reviewed;Vascular non-inflammatory molecule 2 (Vanin-2) (EC 3.5.1.92) (Glycosylphosphatidyl inositol-anchored protein GPI-80) (Protein FOAP-4);VNN2;Homo sapiens (Human)
O95497;VNN1_HUMAN;reviewed;Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1);VNN1;Homo sapiens (Human)
Q9NY84;VNN3_HUMAN;reviewed;Vascular non-inflammatory molecule 3 (Vanin-3) (EC 3.5.1.92);VNN3;Homo sapiens (Human)
