Entry;Entry name;Status;Protein names;Gene names;Organism
Q86XL3;ANKL2_HUMAN;reviewed;Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4);ANKLE2 KIAA0692 LEM4;Homo sapiens (Human)
Q6PIZ9;TRAT1_HUMAN;reviewed;T-cell receptor-associated transmembrane adapter 1 (T-cell receptor-interacting molecule) (TRIM) (pp29/30);TRAT1 TCRIM HSPC062;Homo sapiens (Human)
Q8IWV1;LAX1_HUMAN;reviewed;Lymphocyte transmembrane adapter 1 (Linker for activation of X cells) (Membrane-associated adapter protein LAX);LAX1 LAX;Homo sapiens (Human)
Q9ULC5;ACSL5_HUMAN;reviewed;Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5);ACSL5 ACS5 FACL5 UNQ633/PRO1250;Homo sapiens (Human)
Q02223;TNR17_HUMAN;reviewed;Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269);TNFRSF17 BCM BCMA;Homo sapiens (Human)
O14836;TR13B_HUMAN;reviewed;Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267);TNFRSF13B TACI;Homo sapiens (Human)
Q9NZ45;CISD1_HUMAN;reviewed;CDGSH iron-sulfur domain-containing protein 1 (MitoNEET);CISD1 C10orf70 ZCD1 MDS029;Homo sapiens (Human)
Q96RJ3;TR13C_HUMAN;reviewed;Tumor necrosis factor receptor superfamily member 13C (B-cell-activating factor receptor) (BAFF receptor) (BAFF-R) (BLyS receptor 3) (CD antigen CD268);TNFRSF13C BAFFR BR3;Homo sapiens (Human)
Q9H400;LIME1_HUMAN;reviewed;Lck-interacting transmembrane adapter 1 (Lck-interacting membrane protein) (Lck-interacting molecule);LIME1 LIME LP8067;Homo sapiens (Human)
Q9HAV5;TNR27_HUMAN;reviewed;Tumor necrosis factor receptor superfamily member 27 (X-linked ectodysplasin-A2 receptor) (EDA-A2 receptor);EDA2R TNFRSF27 XEDAR UNQ2448/PRO5727/PRO34080;Homo sapiens (Human)
P54710;ATNG_HUMAN;reviewed;Sodium/potassium-transporting ATPase subunit gamma (Na(+)/K(+) ATPase subunit gamma) (FXYD domain-containing ion transport regulator 2) (Sodium pump gamma chain);FXYD2 ATP1C ATP1G1;Homo sapiens (Human)
Q86Z14;KLOTB_HUMAN;reviewed;Beta-klotho (BKL) (BetaKlotho) (Klotho beta-like protein);KLB;Homo sapiens (Human)
Q9UKB5;AJAP1_HUMAN;reviewed;Adherens junction-associated protein 1 (Membrane protein shrew-1);AJAP1 MOT8 SHREW1;Homo sapiens (Human)
Q6IA17;SIGIR_HUMAN;reviewed;Single Ig IL-1-related receptor (Single Ig IL-1R-related molecule) (Single immunoglobulin domain-containing IL1R-related protein) (Toll/interleukin-1 receptor 8) (TIR8);SIGIRR UNQ301/PRO342;Homo sapiens (Human)
Q16655;MAR1_HUMAN;reviewed;Melanoma antigen recognized by T-cells 1 (MART-1) (Antigen LB39-AA) (Antigen SK29-AA) (Protein Melan-A);MLANA MART1;Homo sapiens (Human)
Q9Y679;AUP1_HUMAN;reviewed;Ancient ubiquitous protein 1;AUP1;Homo sapiens (Human)
Q8IVY1;CA210_HUMAN;reviewed;Type III endosome membrane protein TEMP (TEMP);C1orf210;Homo sapiens (Human)
Q8N350;CBARP_HUMAN;reviewed;Voltage-dependent calcium channel beta subunit-associated regulatory protein;CBARP C19orf26;Homo sapiens (Human)
P0C6T2;OST4_HUMAN;reviewed;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4;OST4;Homo sapiens (Human)
Q8TB68;PRR7_HUMAN;reviewed;Proline-rich protein 7 (Synaptic proline-rich membrane protein);PRR7;Homo sapiens (Human)
O00559;RCAS1_HUMAN;reviewed;Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein);EBAG9 RCAS1;Homo sapiens (Human)
Q9P2E9;RRBP1_HUMAN;reviewed;Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein);RRBP1 KIAA1398;Homo sapiens (Human)
Q9BQQ7;RTP3_HUMAN;reviewed;Receptor-transporting protein 3 (3CxxC-type zinc finger protein 3) (Transmembrane protein 7);RTP3 TMEM7 Z3CXXC3;Homo sapiens (Human)
Q96DX8;RTP4_HUMAN;reviewed;Receptor-transporting protein 4 (28 kDa interferon-responsive protein) (3CxxC-type zinc finger protein 4);RTP4 IFRG28 Z3CXXC4;Homo sapiens (Human)
Q5QGT7;RTP2_HUMAN;reviewed;Receptor-transporting protein 2 (3CxxC-type zinc finger protein 2);RTP2 Z3CXXC2;Homo sapiens (Human)
P59025;RTP1_HUMAN;reviewed;Receptor-transporting protein 1 (3CxxC-type zinc finger protein 1);RTP1 Z3CXXC1;Homo sapiens (Human)
Q9P283;SEM5B_HUMAN;reviewed;Semaphorin-5B;SEMA5B KIAA1445 SEMAG UNQ5867/PRO34001;Homo sapiens (Human)
Q0VAQ4;SMAGP_HUMAN;reviewed;Small cell adhesion glycoprotein (Small transmembrane and glycosylated protein);SMAGP;Homo sapiens (Human)
Q9UBI4;STML1_HUMAN;reviewed;Stomatin-like protein 1 (SLP-1) (EPB72-like protein 1) (Protein unc-24 homolog) (Stomatin-related protein) (STORP);STOML1 SLP1 UNC24 MSTP019;Homo sapiens (Human)
Q8TAV4;STML3_HUMAN;reviewed;Stomatin-like protein 3 (SLP-3);STOML3;Homo sapiens (Human)
Q8NBV8;SYT8_HUMAN;reviewed;Synaptotagmin-8 (Synaptotagmin VIII) (SytVIII);SYT8;Homo sapiens (Human)
Q8NB59;SYT14_HUMAN;reviewed;Synaptotagmin-14 (Synaptotagmin XIV) (SytXIV);SYT14;Homo sapiens (Human)
Q9BQS2;SYT15_HUMAN;reviewed;Synaptotagmin-15 (Chr10Syt) (Synaptotagmin XV) (SytXV);SYT15;Homo sapiens (Human)
P49788;TIG1_HUMAN;reviewed;Retinoic acid receptor responder protein 1 (Phorbol ester-induced gene 1 protein) (PERG-1) (RAR-responsive protein TIG1) (Tazarotene-induced gene 1 protein);RARRES1 PEIG1 TIG1;Homo sapiens (Human)
Q8IV45;UN5CL_HUMAN;reviewed;UNC5C-like protein (Protein unc-5 homolog C-like) (ZU5 and death domain-containing protein);UNC5CL ZUD;Homo sapiens (Human)
