Entry;Entry name;Status;Protein names;Gene names;Organism
P09619;PGFRB_HUMAN;reviewed;Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b);PDGFRB PDGFR PDGFR1;Homo sapiens (Human)
P08581;MET_HUMAN;reviewed;Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met);MET;Homo sapiens (Human)
P36897;TGFR1_HUMAN;reviewed;TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I);TGFBR1 ALK5 SKR4;Homo sapiens (Human)
P46531;NOTC1_HUMAN;reviewed;"Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]";NOTCH1 TAN1;Homo sapiens (Human)
P05106;ITB3_HUMAN;reviewed;Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61);ITGB3 GP3A;Homo sapiens (Human)
O75581;LRP6_HUMAN;reviewed;Low-density lipoprotein receptor-related protein 6 (LRP-6);LRP6;Homo sapiens (Human)
P05556;ITB1_HUMAN;reviewed;Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29);ITGB1 FNRB MDF2 MSK12;Homo sapiens (Human)
P37023;ACVL1_HUMAN;reviewed;Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I);ACVRL1 ACVRLK1 ALK1;Homo sapiens (Human)
Q02763;TIE2_HUMAN;reviewed;Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b);TEK TIE2 VMCM VMCM1;Homo sapiens (Human)
O75445;USH2A_HUMAN;reviewed;Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein);USH2A;Homo sapiens (Human)
P35968;VGFR2_HUMAN;reviewed;Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309);KDR FLK1 VEGFR2;Homo sapiens (Human)
P22607;FGFR3_HUMAN;reviewed;Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333);FGFR3 JTK4;Homo sapiens (Human)
P04629;NTRK1_HUMAN;reviewed;High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA);NTRK1 MTC TRK TRKA;Homo sapiens (Human)
Q15303;ERBB4_HUMAN;reviewed;Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)];ERBB4 HER4;Homo sapiens (Human)
P37173;TGFR2_HUMAN;reviewed;TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II);TGFBR2;Homo sapiens (Human)
P25445;TNR6_HUMAN;reviewed;Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95);FAS APT1 FAS1 TNFRSF6;Homo sapiens (Human)
Q29836;1B67_HUMAN;reviewed;HLA class I histocompatibility antigen, B-67 alpha chain (MHC class I antigen B*67);HLA-B HLAB;Homo sapiens (Human)
P30501;1C02_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-2 alpha chain (MHC class I antigen Cw*2);HLA-C HLAC;Homo sapiens (Human)
P30508;1C12_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-12 alpha chain (MHC class I antigen Cw*12);HLA-C HLAC;Homo sapiens (Human)
Q29960;1C16_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-16 alpha chain (MHC class I antigen Cw*16);HLA-C HLAC;Homo sapiens (Human)
Q29865;1C18_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-18 alpha chain (MHC class I antigen Cw*18);HLA-C HLAC;Homo sapiens (Human)
Q30167;2B1A_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-10 beta chain (DRw10) (MHC class II antigen DRB1*10);HLA-DRB1;Homo sapiens (Human)
P12821;ACE_HUMAN;reviewed;Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form];ACE DCP DCP1;Homo sapiens (Human)
P30453;1A34_HUMAN;reviewed;HLA class I histocompatibility antigen, A-34 alpha chain (Aw-34) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*34);HLA-A HLAA;Homo sapiens (Human)
P30462;1B14_HUMAN;reviewed;HLA class I histocompatibility antigen, B-14 alpha chain (MHC class I antigen B*14);HLA-B HLAB;Homo sapiens (Human)
P30480;1B42_HUMAN;reviewed;HLA class I histocompatibility antigen, B-42 alpha chain (MHC class I antigen B*42);HLA-B HLAB;Homo sapiens (Human)
P30485;1B47_HUMAN;reviewed;HLA class I histocompatibility antigen, B-47 alpha chain (Bw-47) (MHC class I antigen B*47);HLA-B HLAB;Homo sapiens (Human)
P18464;1B51_HUMAN;reviewed;HLA class I histocompatibility antigen, B-51 alpha chain (MHC class I antigen B*51);HLA-B HLAB;Homo sapiens (Human)
P30491;1B53_HUMAN;reviewed;HLA class I histocompatibility antigen, B-53 alpha chain (Bw-53) (MHC class I antigen B*53);HLA-B HLAB;Homo sapiens (Human)
P30495;1B56_HUMAN;reviewed;HLA class I histocompatibility antigen, B-56 alpha chain (Bw-22) (Bw-56) (MHC class I antigen B*56);HLA-B HLAB;Homo sapiens (Human)
Q31612;1B73_HUMAN;reviewed;HLA class I histocompatibility antigen, B-73 alpha chain (MHC class I antigen B*73);HLA-B HLAB;Homo sapiens (Human)
Q29718;1B82_HUMAN;reviewed;HLA class I histocompatibility antigen, B-82 alpha chain (MHC class I antigen B*82);HLA-B HLAB;Homo sapiens (Human)
P04222;1C03_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-3 alpha chain (MHC class I antigen Cw*3);HLA-C HLAC;Homo sapiens (Human)
Q9TNN7;1C05_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-5 alpha chain (MHC class I antigen Cw*5);HLA-C HLAC;Homo sapiens (Human)
Q29963;1C06_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-6 alpha chain (MHC class I antigen Cw*6);HLA-C HLAC;Homo sapiens (Human)
Q07000;1C15_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-15 alpha chain (MHC class I antigen Cw*15);HLA-C HLAC;Homo sapiens (Human)
Q95604;1C17_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-17 alpha chain (MHC class I antigen Cw*17);HLA-C D6S204 HLA-JY3 HLAC;Homo sapiens (Human)
O43184;ADA12_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12) (EC 3.4.24.-) (Meltrin-alpha);ADAM12 MLTN UNQ346/PRO545;Homo sapiens (Human)
Q9UKF2;ADA30_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 30 (ADAM 30) (EC 3.4.24.-);ADAM30 UNQ2509/PRO5997;Homo sapiens (Human)
Q99965;ADAM2_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 2 (ADAM 2) (Cancer/testis antigen 15) (CT15) (Fertilin subunit beta) (PH-30) (PH30) (PH30-beta);ADAM2 FTNB;Homo sapiens (Human)
P01889;1B07_HUMAN;reviewed;HLA class I histocompatibility antigen, B-7 alpha chain (MHC class I antigen B*7);HLA-B HLAB;Homo sapiens (Human)
P30464;1B15_HUMAN;reviewed;HLA class I histocompatibility antigen, B-15 alpha chain (MHC class I antigen B*15);HLA-B HLAB;Homo sapiens (Human)
Q95365;1B38_HUMAN;reviewed;HLA class I histocompatibility antigen, B-38 alpha chain (Bw-4) (MHC class I antigen B*38);HLA-B HLAB;Homo sapiens (Human)
P30475;1B39_HUMAN;reviewed;HLA class I histocompatibility antigen, B-39 alpha chain (MHC class I antigen B*39);HLA-B HLAB;Homo sapiens (Human)
P30481;1B44_HUMAN;reviewed;HLA class I histocompatibility antigen, B-44 alpha chain (Bw-44) (MHC class I antigen B*44);HLA-B HLAB;Homo sapiens (Human)
P30487;1B49_HUMAN;reviewed;HLA class I histocompatibility antigen, B-49 alpha chain (HLA class I histocompatibility antigen, B-21 alpha chain) (MHC class I antigen B*49);HLA-B HLAB;Homo sapiens (Human)
P30493;1B55_HUMAN;reviewed;HLA class I histocompatibility antigen, B-55 alpha chain (Bw-55) (HLA class I histocompatibility antigen, B-12 alpha chain) (MHC class I antigen B*55);HLA-B HLAB CDABP0067;Homo sapiens (Human)
P30498;1B78_HUMAN;reviewed;HLA class I histocompatibility antigen, B-78 alpha chain (MHC class I antigen B*78);HLA-B HLAB;Homo sapiens (Human)
P30443;1A01_HUMAN;reviewed;HLA class I histocompatibility antigen, A-1 alpha chain (MHC class I antigen A*1);HLA-A HLAA;Homo sapiens (Human)
P04439;1A03_HUMAN;reviewed;HLA class I histocompatibility antigen, A-3 alpha chain (MHC class I antigen A*3);HLA-A HLAA;Homo sapiens (Human)
P30504;1C04_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-4 alpha chain (MHC class I antigen Cw*4);HLA-C HLAC;Homo sapiens (Human)
P10321;1C07_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-7 alpha chain (MHC class I antigen Cw*7);HLA-C HLAC;Homo sapiens (Human)
P01912;2B13_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-3 chain (Clone P2-beta-3) (MHC class II antigen DRB1*3);HLA-DRB1;Homo sapiens (Human)
P13760;2B14_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-4 beta chain (MHC class II antigen DRB1*4) (DR-4) (DR4);HLA-DRB1;Homo sapiens (Human)
P01892;1A02_HUMAN;reviewed;HLA class I histocompatibility antigen, A-2 alpha chain (MHC class I antigen A*2);HLA-A HLAA;Homo sapiens (Human)
P30447;1A23_HUMAN;reviewed;HLA class I histocompatibility antigen, A-23 alpha chain (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*23);HLA-A HLAA;Homo sapiens (Human)
P18462;1A25_HUMAN;reviewed;HLA class I histocompatibility antigen, A-25 alpha chain (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*25);HLA-A HLAA;Homo sapiens (Human)
P30512;1A29_HUMAN;reviewed;HLA class I histocompatibility antigen, A-29 alpha chain (Aw-19) (MHC class I antigen A*29);HLA-A HLAA;Homo sapiens (Human)
P16188;1A30_HUMAN;reviewed;HLA class I histocompatibility antigen, A-30 alpha chain (MHC class I antigen A*30);HLA-A HLAA;Homo sapiens (Human)
P16190;1A33_HUMAN;reviewed;HLA class I histocompatibility antigen, A-33 alpha chain (Aw-19) (Aw-33) (MHC class I antigen A*33);HLA-A HLAA;Homo sapiens (Human)
P30455;1A36_HUMAN;reviewed;HLA class I histocompatibility antigen, A-36 alpha chain (Aw-36) (MHC class I antigen A*36);HLA-A HLAA;Homo sapiens (Human)
P10316;1A69_HUMAN;reviewed;HLA class I histocompatibility antigen, A-69 alpha chain (Aw-69) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*69);HLA-A HLAA;Homo sapiens (Human)
Q09160;1A80_HUMAN;reviewed;HLA class I histocompatibility antigen, A-80 alpha chain (Aw-80) (HLA class I histocompatibility antigen, A-1 alpha chain) (MHC class I antigen A*80);HLA-A HLAA;Homo sapiens (Human)
Q29940;1B59_HUMAN;reviewed;HLA class I histocompatibility antigen, B-59 alpha chain (MHC class I antigen B*59);HLA-B HLAB;Homo sapiens (Human)
P04229;2B11_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-1 beta chain (MHC class II antigen DRB1*1) (DR-1) (DR1);HLA-DRB1;Homo sapiens (Human)
Q29974;2B1G_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-16 beta chain (MHC class II antigen DRB1*16) (DR-16) (DR16);HLA-DRB1;Homo sapiens (Human)
Q30134;2B18_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-8 beta chain (MHC class II antigen DRB1*8) (DR-8) (DR8) (DRw8);HLA-DRB1;Homo sapiens (Human)
P05534;1A24_HUMAN;reviewed;HLA class I histocompatibility antigen, A-24 alpha chain (Aw-24) (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*24);HLA-A HLAA;Homo sapiens (Human)
P30450;1A26_HUMAN;reviewed;HLA class I histocompatibility antigen, A-26 alpha chain (MHC class I antigen A*26);HLA-A HLAA;Homo sapiens (Human)
P16189;1A31_HUMAN;reviewed;HLA class I histocompatibility antigen, A-31 alpha chain (MHC class I antigen A*31);HLA-A HLAA;Homo sapiens (Human)
P10314;1A32_HUMAN;reviewed;HLA class I histocompatibility antigen, A-32 alpha chain (MHC class I antigen A*32);HLA-A HLAA;Homo sapiens (Human)
P30456;1A43_HUMAN;reviewed;HLA class I histocompatibility antigen, A-43 alpha chain (Aw-43) (MHC class I antigen A*43);HLA-A HLAA;Homo sapiens (Human)
P30457;1A66_HUMAN;reviewed;HLA class I histocompatibility antigen, A-66 alpha chain (Aw-66) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*66);HLA-A HLAA;Homo sapiens (Human)
P01891;1A68_HUMAN;reviewed;HLA class I histocompatibility antigen, A-68 alpha chain (Aw-68) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*68);HLA-A HLAA;Homo sapiens (Human)
P30459;1A74_HUMAN;reviewed;HLA class I histocompatibility antigen, A-74 alpha chain (Aw-19) (Aw-74) (MHC class I antigen A*74);HLA-A HLAA;Homo sapiens (Human)
P30461;1B13_HUMAN;reviewed;HLA class I histocompatibility antigen, B-13 alpha chain (MHC class I antigen B*13);HLA-B HLAB;Homo sapiens (Human)
P30466;1B18_HUMAN;reviewed;HLA class I histocompatibility antigen, B-18 alpha chain (MHC class I antigen B*18);HLA-B HLAB;Homo sapiens (Human)
P18463;1B37_HUMAN;reviewed;HLA class I histocompatibility antigen, B-37 alpha chain (MHC class I antigen B*37);HLA-B HLAB;Homo sapiens (Human)
Q04826;1B40_HUMAN;reviewed;HLA class I histocompatibility antigen, B-40 alpha chain (Bw-60) (MHC class I antigen B*40);HLA-B HLAB;Homo sapiens (Human)
P30484;1B46_HUMAN;reviewed;HLA class I histocompatibility antigen, B-46 alpha chain (Bw-46) (MHC class I antigen B*46);HLA-B HLAB;Homo sapiens (Human)
P10319;1B58_HUMAN;reviewed;HLA class I histocompatibility antigen, B-58 alpha chain (Bw-58) (MHC class I antigen B*58);HLA-B HLAB;Homo sapiens (Human)
Q31610;1B81_HUMAN;reviewed;HLA class I histocompatibility antigen, B-81 alpha chain (B'DT) (MHC class I antigen B*81);HLA-B HLAB;Homo sapiens (Human)
P30499;1C01_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-1 alpha chain (MHC class I antigen Cw*1);HLA-C HLAC;Homo sapiens (Human)
P30505;1C08_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-8 alpha chain (MHC class I antigen Cw*8);HLA-C HLAC;Homo sapiens (Human)
P30510;1C14_HUMAN;reviewed;HLA class I histocompatibility antigen, Cw-14 alpha chain (MHC class I antigen Cw*14);HLA-C HLAC;Homo sapiens (Human)
Q9TQE0;2B19_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-9 beta chain (MHC class II antigen DRB1*9) (DR-9) (DR9);HLA-DRB1;Homo sapiens (Human)
Q9GIY3;2B1E_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-14 beta chain (MHC class II antigen DRB1*14) (DR-14) (DR14);HLA-DRB1;Homo sapiens (Human)
P13746;1A11_HUMAN;reviewed;HLA class I histocompatibility antigen, A-11 alpha chain (MHC class I antigen A*11);HLA-A HLAA;Homo sapiens (Human)
P30460;1B08_HUMAN;reviewed;HLA class I histocompatibility antigen, B-8 alpha chain (MHC class I antigen B*8);HLA-B HLAB;Homo sapiens (Human)
P03989;1B27_HUMAN;reviewed;HLA class I histocompatibility antigen, B-27 alpha chain (MHC class I antigen B*27);HLA-B HLAB;Homo sapiens (Human)
P30685;1B35_HUMAN;reviewed;HLA class I histocompatibility antigen, B-35 alpha chain (MHC class I antigen B*35);HLA-B HLAB;Homo sapiens (Human)
P30479;1B41_HUMAN;reviewed;HLA class I histocompatibility antigen, B-41 alpha chain (Bw-41) (MHC class I antigen B*41);HLA-B HLAB;Homo sapiens (Human)
P30483;1B45_HUMAN;reviewed;HLA class I histocompatibility antigen, B-45 alpha chain (Bw-45) (MHC class I antigen B*45);HLA-B HLAB;Homo sapiens (Human)
P30486;1B48_HUMAN;reviewed;HLA class I histocompatibility antigen, B-48 alpha chain (Bw-48) (MHC class I antigen B*48);HLA-B HLAB;Homo sapiens (Human)
P30488;1B50_HUMAN;reviewed;HLA class I histocompatibility antigen, B-50 alpha chain (Bw-50) (HLA class I histocompatibility antigen, B-21 alpha chain) (MHC class I antigen B*50);HLA-B HLAB;Homo sapiens (Human)
P30490;1B52_HUMAN;reviewed;HLA class I histocompatibility antigen, B-52 alpha chain (Bw-52) (HLA class I histocompatibility antigen, B-5 alpha chain) (MHC class I antigen B*52);HLA-B HLAB;Homo sapiens (Human)
P30492;1B54_HUMAN;reviewed;HLA class I histocompatibility antigen, B-54 alpha chain (Bw-22) (Bw-54) (MHC class I antigen B*54);HLA-B HLAB;Homo sapiens (Human)
P18465;1B57_HUMAN;reviewed;HLA class I histocompatibility antigen, B-57 alpha chain (Bw-57) (MHC class I antigen B*57);HLA-B HLAB;Homo sapiens (Human)
P13761;2B17_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-7 beta chain (MHC class II antigen DRB1*7) (DR-7) (DR7);HLA-DRB1;Homo sapiens (Human)
P20039;2B1B_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-11 beta chain (DR-5) (DR5) (DRw11) (MHC class II antigen DRB1*11);HLA-DRB1;Homo sapiens (Human)
Q5Y7A7;2B1D_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-13 beta chain (MHC class II antigen DRB1*13) (DR-13) (DR13);HLA-DRB1;Homo sapiens (Human)
O75078;ADA11_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 11 (ADAM 11) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein) (MDC);ADAM11 MDC;Homo sapiens (Human)
Q95IE3;2B1C_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-12 beta chain (MHC class II antigen DRB1*12) (DR-12) (DR12);HLA-DRB1;Homo sapiens (Human)
P01911;2B1F_HUMAN;reviewed;HLA class II histocompatibility antigen, DRB1-15 beta chain (DW2.2/DR2.2) (MHC class II antigen DRB1*15);HLA-DRB1 HLA-DRB2;Homo sapiens (Human)
Q9H013;ADA19_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 19 (ADAM 19) (EC 3.4.24.-) (Meltrin-beta) (Metalloprotease and disintegrin dendritic antigen marker) (MADDAM);ADAM19 MLTNB FKSG34;Homo sapiens (Human)
Q9UKJ8;ADA21_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 21 (ADAM 21) (EC 3.4.24.-);ADAM21;Homo sapiens (Human)
Q9P0K1;ADA22_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2);ADAM22 MDC2;Homo sapiens (Human)
Q9BZ11;ADA33_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 33 (ADAM 33) (EC 3.4.24.-);ADAM33 C20orf153 UNQ873/PRO1891;Homo sapiens (Human)
P36896;ACV1B_HUMAN;reviewed;Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2);ACVR1B ACVRLK4 ALK4;Homo sapiens (Human)
Q9UM73;ALK_HUMAN;reviewed;ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246);ALK;Homo sapiens (Human)
O14672;ADA10_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c);ADAM10 KUZ MADM;Homo sapiens (Human)
Q9UKQ2;ADA28_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28) (EC 3.4.24.-) (Epididymal metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (eMDC II) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein L) (MDC-L);ADAM28 ADAM23 MDCL;Homo sapiens (Human)
Q9UKF5;ADA29_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 29 (ADAM 29) (Cancer/testis antigen 73) (CT73);ADAM29;Homo sapiens (Human)
Q9BYF1;ACE2_HUMAN;reviewed;Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2];ACE2 UNQ868/PRO1885;Homo sapiens (Human)
Q8NER5;ACV1C_HUMAN;reviewed;Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7);ACVR1C ALK7;Homo sapiens (Human)
Q04771;ACVR1_HUMAN;reviewed;Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I);ACVR1 ACVRLK2;Homo sapiens (Human)
Q13444;ADA15_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin);ADAM15 MDC15;Homo sapiens (Human)
P78536;ADA17_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b);ADAM17 CSVP TACE;Homo sapiens (Human)
Q8TC27;ADA32_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 32 (ADAM 32);ADAM32 UNQ5982/PRO21340;Homo sapiens (Human)
Q13443;ADAM9_HUMAN;reviewed;Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase);ADAM9 KIAA0021 MCMP MDC9 MLTNG;Homo sapiens (Human)
A6NF34;ANTRL_HUMAN;reviewed;Anthrax toxin receptor-like;ANTXRL;Homo sapiens (Human)
