Entry;Entry name;Status;Protein names;Gene names;Organism
P48023;TNFL6_HUMAN;reviewed;"Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]";FASLG APT1LG1 CD95L FASL TNFSF6;Homo sapiens (Human)
P15291;B4GT1_HUMAN;reviewed;"Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]";B4GALT1 GGTB2;Homo sapiens (Human)
P27487;DPP4_HUMAN;reviewed;"Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]";DPP4 ADCP2 CD26;Homo sapiens (Human)
Q04609;FOLH1_HUMAN;reviewed;Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase);FOLH1 FOLH NAALAD1 PSM PSMA GIG27;Homo sapiens (Human)
Q12797;ASPH_HUMAN;reviewed;Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase);ASPH BAH;Homo sapiens (Human)
O00468;AGRIN_HUMAN;reviewed;"Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]";AGRN AGRIN;Homo sapiens (Human)
P19440;GGT1_HUMAN;reviewed;"Gamma-glutamyltranspeptidase 1 (GGT 1) (EC 2.3.2.2) (Gamma-glutamyltransferase 1) (Glutathione hydrolase 1) (EC 3.4.19.13) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Gamma-glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]";GGT1 GGT;Homo sapiens (Human)
Q10589;BST2_HUMAN;reviewed;Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317);BST2;Homo sapiens (Human)
P08473;NEP_HUMAN;reviewed;Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10);MME EPN;Homo sapiens (Human)
P29965;CD40L_HUMAN;reviewed;"CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form]";CD40LG CD40L TNFSF5 TRAP;Homo sapiens (Human)
P78380;OLR1_HUMAN;reviewed;Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form];OLR1 CLEC8A LOX1;Homo sapiens (Human)
Q8WVQ1;CANT1_HUMAN;reviewed;Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog) (Putative MAPK-activating protein PM09) (Putative NF-kappa-B-activating protein 107);CANT1 SHAPY;Homo sapiens (Human)
Q9NNX6;CD209_HUMAN;reviewed;CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209);CD209 CLEC4L;Homo sapiens (Human)
Q3T906;GNPTA_HUMAN;reviewed;"N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein GNPTAB) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta]";GNPTAB GNPTA KIAA1208;Homo sapiens (Human)
P18850;ATF6A_HUMAN;reviewed;Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha];ATF6;Homo sapiens (Human)
P15144;AMPN_HUMAN;reviewed;Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13);ANPEP APN CD13 PEPN;Homo sapiens (Human)
Q9UNA3;A4GCT_HUMAN;reviewed;Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT) (EC 2.4.1.-);A4GNT;Homo sapiens (Human)
Q7L211;ABHDD_HUMAN;reviewed;Protein ABHD13 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 13) (Abhydrolase domain-containing protein 13);ABHD13 C13orf6;Homo sapiens (Human)
P08195;4F2_HUMAN;reviewed;4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98);SLC3A2 MDU1;Homo sapiens (Human)
Q9NPC4;A4GAT_HUMAN;reviewed;Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase);A4GALT A14GALT A4GALT1;Homo sapiens (Human)
Q96SE0;ABHD1_HUMAN;reviewed;Protein ABHD1 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 1) (Abhydrolase domain-containing protein 1) (Lung alpha/beta hydrolase 1);ABHD1 LABH1;Homo sapiens (Human)
Q9BUJ0;ABHEA_HUMAN;reviewed;Protein ABHD14A (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14A) (Abhydrolase domain-containing protein 14A);ABHD14A UNQ1913/PRO4373;Homo sapiens (Human)
P08910;ABHD2_HUMAN;reviewed;Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2) (Lung alpha/beta hydrolase 2) (Protein PHPS1-2);ABHD2 LABH2;Homo sapiens (Human)
Q8WU67;ABHD3_HUMAN;reviewed;Phospholipase ABHD3 (EC 3.1.1.32) (EC 3.1.1.4) (Abhydrolase domain-containing protein 3);ABHD3;Homo sapiens (Human)
Q9BV23;ABHD6_HUMAN;reviewed;Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6);ABHD6;Homo sapiens (Human)
P22760;AAAD_HUMAN;reviewed;Arylacetamide deacetylase (EC 3.1.1.3);AADAC DAC;Homo sapiens (Human)
U3KPV4;A3LT2_HUMAN;reviewed;Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S);A3GALT2 A3GALT2P IGBS3S;Homo sapiens (Human)
Q9Y673;ALG5_HUMAN;reviewed;Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5 homolog);ALG5 HSPC149;Homo sapiens (Human)
Q5VUY2;ADCL4_HUMAN;reviewed;Arylacetamide deacetylase-like 4 (EC 3.1.1.-);AADACL4;Homo sapiens (Human)
Q6Q4G3;AMPQ_HUMAN;reviewed;Aminopeptidase Q (AP-Q) (APQ) (EC 3.4.11.-) (CHL2 antigen) (Laeverin);LVRN AQPEP;Homo sapiens (Human)
Q16853;AOC3_HUMAN;reviewed;Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1);AOC3 VAP1;Homo sapiens (Human)
Q9BT22;ALG1_HUMAN;reviewed;Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1);ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870;Homo sapiens (Human)
Q07075;AMPE_HUMAN;reviewed;Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249);ENPEP;Homo sapiens (Human)
Q9HDC9;APMAP_HUMAN;reviewed;Adipocyte plasma membrane-associated protein (Protein BSCv);APMAP C20orf3 UNQ1869/PRO4305;Homo sapiens (Human)
Q9NR71;ASAH2_HUMAN;reviewed;Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (BCDase) (LCDase) (hCD) (N-acylsphingosine amidohydrolase 2) (Non-lysosomal ceramidase) [Cleaved into: Neutral ceramidase soluble form];ASAH2 HNAC1;Homo sapiens (Human)
P07307;ASGR2_HUMAN;reviewed;Asialoglycoprotein receptor 2 (ASGP-R 2) (ASGPR 2) (C-type lectin domain family 4 member H2) (Hepatic lectin H2) (HL-2);ASGR2 CLEC4H2;Homo sapiens (Human)
P05026;AT1B1_HUMAN;reviewed;Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1);ATP1B1 ATP1B;Homo sapiens (Human)
P14415;AT1B2_HUMAN;reviewed;Sodium/potassium-transporting ATPase subunit beta-2 (Adhesion molecule in glia) (AMOG) (Sodium/potassium-dependent ATPase subunit beta-2);ATP1B2;Homo sapiens (Human)
Q6L9W6;B4GN3_HUMAN;reviewed;Beta-1,4-N-acetylgalactosaminyltransferase 3 (B4GalNAcT3) (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2);B4GALNT3;Homo sapiens (Human)
O60513;B4GT4_HUMAN;reviewed;"Beta-1,4-galactosyltransferase 4 (Beta-1,4-GalTase 4) (Beta4Gal-T4) (b4Gal-T4) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Lactotriaosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.275) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase)]";B4GALT4 UNQ552/PRO1109;Homo sapiens (Human)
O94766;B3GA3_HUMAN;reviewed;Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I);B3GAT3;Homo sapiens (Human)
Q9C0J1;B3GN4_HUMAN;reviewed;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4);B3GNT4 UNQ1898/PRO4344;Homo sapiens (Human)
P07306;ASGR1_HUMAN;reviewed;Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1);ASGR1 CLEC4H1;Homo sapiens (Human)
Q9UN42;AT1B4_HUMAN;reviewed;Protein ATP1B4 (X,K-ATPase subunit beta-m) (X/potassium-transporting ATPase subunit beta-m);ATP1B4;Homo sapiens (Human)
Q8NCR0;B3GL2_HUMAN;reviewed;UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.-) (Beta-1,3-N-acetylgalactosaminyltransferase II);B3GALNT2;Homo sapiens (Human)
Q6UX72;B3GN9_HUMAN;reviewed;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 (BGnT-9) (Beta-1,3-Gn-T9) (Beta-1,3-N-acetylglucosaminyltransferase 9) (Beta3Gn-T9) (EC 2.4.1.-);B3GNT9 UNQ1922/PRO4397;Homo sapiens (Human)
Q9Y5Z6;B3GT1_HUMAN;reviewed;Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.86) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1);B3GALT1;Homo sapiens (Human)
Q9UBV7;B4GT7_HUMAN;reviewed;Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) [Includes: Xylosylprotein 4-beta-galactosyltransferase (EC 2.4.1.133) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein beta-1,4-galactosyltransferase)];B4GALT7 XGALT1 UNQ748/PRO1478;Homo sapiens (Human)
Q99941;ATF6B_HUMAN;reviewed;Cyclic AMP-dependent transcription factor ATF-6 beta (cAMP-dependent transcription factor ATF-6 beta) (Activating transcription factor 6 beta) (ATF6-beta) (Protein G13) (cAMP response element-binding protein-related protein) (Creb-rp) (cAMP-responsive element-binding protein-like 1) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 beta];ATF6B CREBL1 G13;Homo sapiens (Human)
Q5U4P2;ASPH1_HUMAN;reviewed;Aspartate beta-hydroxylase domain-containing protein 1 (EC 1.14.11.-);ASPHD1;Homo sapiens (Human)
P54709;AT1B3_HUMAN;reviewed;Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298);ATP1B3;Homo sapiens (Human)
Q6ICH7;ASPH2_HUMAN;reviewed;Aspartate beta-hydroxylase domain-containing protein 2 (EC 1.14.11.-);ASPHD2;Homo sapiens (Human)
P51164;ATP4B_HUMAN;reviewed;Potassium-transporting ATPase subunit beta (Gastric H(+)/K(+) ATPase subunit beta) (Proton pump beta chain);ATP4B;Homo sapiens (Human)
O43505;B4GA1_HUMAN;reviewed;Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1);B4GAT1 B3GNT1 B3GNT6;Homo sapiens (Human)
O43286;B4GT5_HUMAN;reviewed;Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5);B4GALT5;Homo sapiens (Human)
Q9Y2A9;B3GN3_HUMAN;reviewed;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3 (EC 2.4.1.149) (Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase) (EC 2.4.1.146) (Beta-1,3-galactosyltransferase 8) (Beta-1,3-GalTase 8) (Beta3Gal-T8) (Beta3GalT8) (b3Gal-T8) (Beta-3-Gx-T8) (Core 1 extending beta-1,3-N-acetylglucosaminyltransferase) (Core1-beta3GlcNAcT) (Transmembrane protein 3) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 8) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3) (BGnT-3) (Beta-1,3-Gn-T3) (Beta-1,3-N-acetylglucosaminyltransferase 3) (Beta3Gn-T3) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 8);B3GNT3 B3GALT8 TMEM3 UNQ637/PRO1266;Homo sapiens (Human)
Q8NFL0;B3GN7_HUMAN;reviewed;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (BGnT-7) (Beta-1,3-Gn-T7) (Beta-1,3-N-acetylglucosaminyltransferase 7) (Beta3Gn-T7) (EC 2.4.1.-);B3GNT7;Homo sapiens (Human)
Q9Y2C3;B3GT5_HUMAN;reviewed;Beta-1,3-galactosyltransferase 5 (Beta-1,3-GalTase 5) (Beta3Gal-T5) (Beta3GalT5) (b3Gal-T5) (EC 2.4.1.-) (Beta-3-Gx-T5) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5);B3GALT5;Homo sapiens (Human)
Q76KP1;B4GN4_HUMAN;reviewed;N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 (NGalNAc-T1) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase IV) (Beta4GalNAc-T4) (Beta4GalNAcT4);B4GALNT4;Homo sapiens (Human)
P16442;BGAT_HUMAN;reviewed;Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form];ABO;Homo sapiens (Human)
Q96L58;B3GT6_HUMAN;reviewed;Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6);B3GALT6;Homo sapiens (Human)
O75752;B3GL1_HUMAN;reviewed;UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-GalNAc-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase);B3GALNT1 B3GALT3 UNQ531/PRO1074;Homo sapiens (Human)
O60512;B4GT3_HUMAN;reviewed;"Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]";B4GALT3;Homo sapiens (Human)
O96024;B3GT4_HUMAN;reviewed;Beta-1,3-galactosyltransferase 4 (Beta-1,3-GalTase 4) (Beta3Gal-T4) (Beta3GalT4) (GalT4) (b3Gal-T4) (EC 2.4.1.62) (Gal-T2) (Ganglioside galactosyltransferase) (UDP-galactose:beta-N-acetyl-galactosamine-beta-1,3-galactosyltransferase);B3GALT4 GALT4;Homo sapiens (Human)
Q9NPZ5;B3GA2_HUMAN;reviewed;Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 2) (GlcAT-D) (UDP-glucuronosyltransferase S) (GlcAT-S) (Glucuronosyltransferase S);B3GAT2 GLCATS KIAA1963;Homo sapiens (Human)
Q9NY97;B3GN2_HUMAN;reviewed;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (EC 2.4.1.149) (Beta-1,3-N-acetylglucosaminyltransferase 1) (BGnT-1) (Beta-1,3-Gn-T1) (Beta3Gn-T1) (Beta-1,3-galactosyltransferase 7) (Beta-1,3-GalTase 7) (Beta3Gal-T7) (Beta3GalT7) (b3Gal-T7) (Beta-3-Gx-T7) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2) (BGnT-2) (Beta-1,3-Gn-T2) (Beta-1,3-N-acetylglucosaminyltransferase 2) (Beta3Gn-T2) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7);B3GNT2 B3GALT7 B3GNT1;Homo sapiens (Human)
Q9BYG0;B3GN5_HUMAN;reviewed;Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase (EC 2.4.1.206) (Lactotriaosylceramide synthase) (Lc(3)Cer synthase) (Lc3 synthase) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5) (BGnT-5) (Beta-1,3-Gn-T5) (Beta-1,3-N-acetylglucosaminyltransferase 5) (Beta3Gn-T5);B3GNT5;Homo sapiens (Human)
O43825;B3GT2_HUMAN;reviewed;Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (EC 2.4.1.86) (UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2);B3GALT2;Homo sapiens (Human)
Q6ZMB0;B3GN6_HUMAN;reviewed;Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.147) (Core 3 synthase) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6) (BGnT-6) (Beta-1,3-Gn-T6) (Beta-1,3-N-acetylglucosaminyltransferase 6) (Beta3Gn-T6);B3GNT6;Homo sapiens (Human)
