Entry;Entry name;Status;Protein names;Gene names;Organism
P21397;AOFA_HUMAN;reviewed;Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A);MAOA;Homo sapiens (Human)
Q8IXI2;MIRO1_HUMAN;reviewed;Mitochondrial Rho GTPase 1 (MIRO-1) (hMiro-1) (EC 3.6.5.-) (Rac-GTP-binding protein-like protein) (Ras homolog gene family member T1);RHOT1 ARHT1;Homo sapiens (Human)
Q9GZY8;MFF_HUMAN;reviewed;Mitochondrial fission factor;MFF C2orf33 AD030 AD033 GL004;Homo sapiens (Human)
Q13190;STX5_HUMAN;reviewed;Syntaxin-5;STX5 STX5A;Homo sapiens (Human)
Q13277;STX3_HUMAN;reviewed;Syntaxin-3;STX3 STX3A;Homo sapiens (Human)
O43752;STX6_HUMAN;reviewed;Syntaxin-6;STX6;Homo sapiens (Human)
Q9BR39;JPH2_HUMAN;reviewed;Junctophilin-2 (JP-2) (Junctophilin type 2);JPH2 JP2;Homo sapiens (Human)
Q9NYM9;BET1L_HUMAN;reviewed;BET1-like protein (Golgi SNARE with a size of 15 kDa) (GOS-15) (GS15) (Vesicle transport protein GOS15);BET1L GS15;Homo sapiens (Human)
O15155;BET1_HUMAN;reviewed;BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18);BET1;Homo sapiens (Human)
Q86V35;CABP7_HUMAN;reviewed;Calcium-binding protein 7 (CaBP7) (Calneuron II) (Calneuron-2);CABP7 CALN2;Homo sapiens (Human)
Q9BXU9;CABP8_HUMAN;reviewed;Calcium-binding protein 8 (CaBP8) (Calneuron I) (Calneuron-1);CALN1 CABP8;Homo sapiens (Human)
Q13948;CASP_HUMAN;reviewed;Protein CASP;CUX1 CUTL1;Homo sapiens (Human)
Q8N111;CEND_HUMAN;reviewed;Cell cycle exit and neuronal differentiation protein 1 (BM88 antigen);CEND1 BM88;Homo sapiens (Human)
Q96JQ2;CLMN_HUMAN;reviewed;Calmin (Calponin-like transmembrane domain protein);CLMN KIAA1188;Homo sapiens (Human)
Q9Y2G8;DJC16_HUMAN;reviewed;DnaJ homolog subfamily C member 16;DNAJC16 KIAA0962;Homo sapiens (Human)
Q8WWP7;GIMA1_HUMAN;reviewed;GTPase IMAP family member 1 (Immunity-associated protein 1) (hIMAP1);GIMAP1 IMAP1;Homo sapiens (Human)
O95249;GOSR1_HUMAN;reviewed;Golgi SNAP receptor complex member 1 (28 kDa Golgi SNARE protein) (28 kDa cis-Golgi SNARE p28) (GOS-28);GOSR1 GS28;Homo sapiens (Human)
Q96F15;GIMA5_HUMAN;reviewed;GTPase IMAP family member 5 (Immunity-associated nucleotide 4-like 1 protein) (Immunity-associated nucleotide 5 protein) (IAN-5) (hIAN5) (Immunity-associated protein 3);GIMAP5 IAN4L1 IAN5 IMAP3;Homo sapiens (Human)
Q8TBA6;GOGA5_HUMAN;reviewed;Golgin subfamily A member 5 (Cell proliferation-inducing gene 31 protein) (Golgin-84) (Protein Ret-II) (RET-fused gene 5 protein);GOLGA5 RETII RFG5 PIG31;Homo sapiens (Human)
O14653;GOSR2_HUMAN;reviewed;Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin);GOSR2 GS27;Homo sapiens (Human)
Q8TDB4;HUMMR_HUMAN;reviewed;Protein MGARP (Corneal endothelium-specific protein 1) (CESP-1) (Hypoxia up-regulated mitochondrial movement regulator protein) (Mitochondria-localized glutamic acid-rich protein) (Ovary-specific acidic protein);MGARP C4orf49 CESP1 HUMMR OSAP GS3582;Homo sapiens (Human)
Q96JJ6;JPH4_HUMAN;reviewed;Junctophilin-4 (JP-4) (Junctophilin-like 1 protein);JPH4 JPHL1 KIAA1831;Homo sapiens (Human)
Q9HDC5;JPH1_HUMAN;reviewed;Junctophilin-1 (JP-1) (Junctophilin type 1);JPH1 JP1;Homo sapiens (Human)
Q8WXH2;JPH3_HUMAN;reviewed;Junctophilin-3 (JP-3) (Junctophilin type 3) (Trinucleotide repeat-containing gene 22 protein);JPH3 JP3 TNRC22;Homo sapiens (Human)
Q12912;LRMP_HUMAN;reviewed;Lymphoid-restricted membrane protein (Protein Jaw1) [Cleaved into: Processed lymphoid-restricted membrane protein];LRMP JAW1;Homo sapiens (Human)
Q8IXI1;MIRO2_HUMAN;reviewed;Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2);RHOT2 ARHT2 C16orf39;Homo sapiens (Human)
Q6ZS82;R9BP_HUMAN;reviewed;Regulator of G-protein signaling 9-binding protein (RGS9-anchoring protein);RGS9BP R9AP;Homo sapiens (Human)
O75452;RDH16_HUMAN;reviewed;Retinol dehydrogenase 16 (EC 1.1.-.-) (Microsomal NAD(+)-dependent retinol dehydrogenase 4) (RoDH-4) (Short chain dehydrogenase/reductase family 9C member 8) (Sterol/retinol dehydrogenase);RDH16 RODH4 SDR9C8;Homo sapiens (Human)
O75396;SC22B_HUMAN;reviewed;Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1);SEC22B SEC22L1;Homo sapiens (Human)
Q12981;SEC20_HUMAN;reviewed;Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8);BNIP1 NIP1 SEC20L TRG8;Homo sapiens (Human)
Q8N6R1;SERP2_HUMAN;reviewed;Stress-associated endoplasmic reticulum protein 2 (Ribosome-associated membrane protein RAMP4-2);SERP2 C13orf21;Homo sapiens (Human)
Q9Y6X1;SERP1_HUMAN;reviewed;Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4);SERP1 RAMP4;Homo sapiens (Human)
Q14BN4;SLMAP_HUMAN;reviewed;Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein);SLMAP KIAA1601 SLAP UNQ1847/PRO3577;Homo sapiens (Human)
O60499;STX10_HUMAN;reviewed;Syntaxin-10 (Syn10);STX10 SYN10;Homo sapiens (Human)
Q9P2W9;STX18_HUMAN;reviewed;Syntaxin-18 (Cell growth-inhibiting gene 9 protein);STX18 GIG9;Homo sapiens (Human)
Q86Y82;STX12_HUMAN;reviewed;Syntaxin-12;STX12;Homo sapiens (Human)
P61266;STX1B_HUMAN;reviewed;Syntaxin-1B (Syntaxin-1B1) (Syntaxin-1B2);STX1B STX1B1 STX1B2;Homo sapiens (Human)
P32856;STX2_HUMAN;reviewed;Syntaxin-2 (Epimorphin);STX2 EPIM STX2A STX2B STX2C;Homo sapiens (Human)
Q9UNK0;STX8_HUMAN;reviewed;Syntaxin-8;STX8;Homo sapiens (Human)
Q6ZMZ3;SYNE3_HUMAN;reviewed;Nesprin-3 (KASH domain-containing protein 3) (KASH3) (Nuclear envelope spectrin repeat protein 3);SYNE3 C14orf139 C14orf49 LINC00341;Homo sapiens (Human)
Q9Y228;T3JAM_HUMAN;reviewed;TRAF3-interacting JNK-activating modulator (TRAF3-interacting protein 3);TRAF3IP3 T3JAM;Homo sapiens (Human)
Q8N2K1;UB2J2_HUMAN;reviewed;Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2);UBE2J2 NCUBE2;Homo sapiens (Human)
Q9NZ43;USE1_HUMAN;reviewed;Vesicle transport protein USE1 (Putative MAPK-activating protein PM26) (USE1-like protein) (p31);USE1 USE1L MDS032;Homo sapiens (Human)
Q9Y385;UB2J1_HUMAN;reviewed;Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1) (Yeast ubiquitin-conjugating enzyme UBC6 homolog E) (HsUBC6e);UBE2J1 NCUBE1 CGI-76 HSPC153 HSPC205;Homo sapiens (Human)
O75379;VAMP4_HUMAN;reviewed;Vesicle-associated membrane protein 4 (VAMP-4);VAMP4;Homo sapiens (Human)
O95183;VAMP5_HUMAN;reviewed;Vesicle-associated membrane protein 5 (VAMP-5) (Myobrevin);VAMP5 HSPC191;Homo sapiens (Human)
P23763;VAMP1_HUMAN;reviewed;Vesicle-associated membrane protein 1 (VAMP-1) (Synaptobrevin-1);VAMP1 SYB1;Homo sapiens (Human)
Q96AJ9;VTI1A_HUMAN;reviewed;Vesicle transport through interaction with t-SNAREs homolog 1A (Vesicle transport v-SNARE protein Vti1-like 2) (Vti1-rp2);VTI1A;Homo sapiens (Human)
