target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,ENSG00000140992,,,,,,,Human,compound 1 [PMID: 20005102],8181,,,249565861,Inhibitor,Inhibition,"",Not Determined,f,f,"",pIC50,,7.30000019073486,,IC50,,50,,=,"","","",20005102
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,ENSG00000140992,,,,,,,Human,GSK2334470,8008,,,249565688,Inhibitor,Inhibition,"",Not Determined,f,t,"",pIC50,,8.60000038146973,,IC50,,2.50999999046326,,=,"","","",21341675
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,ENSG00000140992,,,,,,,Human,OSU-03012,8005,,,249565685,Inhibitor,Inhibition,"",Not Determined,f,t,"",pIC50,,8.05000019073486,,IC50,,9,,=,"","","",15205346
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,ENSG00000140992,,,,,,,Human,PHT-427,8009,,,249565689,Inhibitor,Inhibition,"",Not Determined,f,t,"",pKi,,5.28000020980835,,Ki,,5200,,=,Assay using purified recombinant pleckstrin homology domain of human PDK1,"","",20197390
4-1BB,1878,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,urelumab,9311,,,318164830,Antibody,Agonist,"",Selective,f,t,"",pKd,,7.78000020980835,,Kd,,16.6100006103516,,=,Dissociation constant for the 20H4-9-IgG4 clone binding to human 4-1BB,"","",
4-1BB,1878,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,utomilumab,9244,,,315661319,Antibody,Agonist,"",Selective,f,t,"",pKd,,8.0600004196167,,Kd,,8.69999980926514,,=,Binding to 4-1BB extracellular domain measured using a surface plasmon resonance (SPR) biosensor assay.,"","",22406983
4-1BB,1878,TNFRSF9,Q07011,ENSG00000049249,,,,,,,Human,4-1BB ligand,5081,TNFSF9,Human,178101774,None,None,,Non-selective,t,,,-,,,,,,,,,,,,
4-aminobutyrate aminotransferase,2464,ABAT,P80404,ENSG00000183044,,,,,,,Human,4-acryloylphenol,8841,,,252827498,Inhibitor,Inhibition,"",Not Determined,f,f,"",pIC50,,5.26000022888184,,IC50,,5480,,=,"","","",16290145
4-aminobutyrate aminotransferase,2464,ABAT,P80404,ENSG00000183044,,,,,,,Human,CPP-115,8284,,,252166496,Inhibitor,Inhibition,"",Not Determined,f,t,"",pKi,,5.01000022888184,,Ki,,9700,,=,"","","",22168767
4-aminobutyrate aminotransferase,2464,ABAT,P80404,ENSG00000183044,,,,,,,Human,vigabatrin,4821,,,178101523,Inhibitor,Irreversible inhibition,"",Not Determined,f,t,"",pKi,,3.0699999332428,,Ki,,850000,,=,"","","",856582|22168767
4F2hc,890,SLC3A2,P08195,ENSG00000168003,,,,,,,Human,IGN523,8737,,,252827395,Antibody,Binding,"",Selective,f,t,"",pKd,,8.89000034332275,,Kd,,1.29999995231628,,=,"","","",
4-hydroxyphenylpyruvate dioxygenase,2621,,,,,,,,,,Pig,nitisinone,6834,,,178103440,Inhibitor,Inhibition,"",Not Determined,f,t,"",pIC50,,7.40000009536743,,IC50,,40,,=,"","","",10853644
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,flibanserin,8182,,,249565862,Agonist,Agonist,"",Not Determined,f,t,"",pKi,,9,,Ki,,1,,=,"","","",12177684
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,frovatriptan,7191,,,178103766,Agonist,Agonist,"",Not Determined,f,f,"",pKi,,7.21999979019165,,Ki,,60,,=,"","","",9986723
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-12,8434,,,252166644,Agonist,Agonist,"",Not Determined,f,f,"",pKi,,7.21999979019165,,Ki,,60.9000015258789,,=,"","","",17649988
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-211,8436,,,252166646,Agonist,Agonist,"",Not Determined,f,f,"",pKi,,6.73000001907349,,Ki,,188,,=,"","","",18800769
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-44,8435,,,252166645,Agonist,Agonist,"",Not Determined,f,f,"",pKi,,7.28000020980835,,Ki,,52.7000007629395,,=,"","","",17649988
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,1-naphthylpiperazine,3,,,135649669,Agonist,Full agonist,,,f,,"",pKi,,8,,,,,,,,,,9397179
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,5-CT,4,,,135649828,Agonist,Full agonist,,,f,,"",pKi,10.3,,9.4,,,,,,,,,1386736|9760039|9550290|9205951
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,5-hydroxytryptamine,5,,,135651413,Agonist,Full agonist,,,t,,"",pKi,9.7,,9.1,,,,,,,,,1386736|9760039|10431754|9550290|9205951|15628665
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,7-methoxy-1-naphthylpiperazine,6,,,135649861,Agonist,Full agonist,,,f,,"",pKi,,8.6,,,,,,,,,,9397179
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,8-OH-DPAT,7,,,135649864,Agonist,Full agonist,"",Selective,f,f,"",pKi,9.39999961853027,,8.39999961853027,Ki,3.98000001907349,,0.398000001907349,=,"","","",1386736|9760039|9550290|15628665|9495870|10611634|12527336|9067310
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,asenapine,22,,,135650779,Agonist,Full agonist,,,f,,"",pKi,8.3,,8,,,,,,,,,9760039|8935801
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BMY-14802,8,,,135650007,Agonist,Full agonist,,,f,,"",pKi,,7.2,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,cabergoline,37,,,135652674,Agonist,Full agonist,,,f,,"",pKi,,7.7,,,,,,,,,,12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,clozapine,38,,,135650115,Agonist,Full agonist,,,f,,"",pKi,6.9,,6.8,,,,,,,,,9760039|8935801|9732398
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,CP 93129,11,,,135650131,Agonist,Full agonist,,,f,,"",pKi,,6.1,,,,,,,,,,9205951
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,donitriptan,39,,,135650207,Agonist,Full agonist,,,f,,"",pKi,,7.6,,,,,,,,,,10381763
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,eletriptan,40,,,135650227,Agonist,Full agonist,,,f,,"",pKi,,7.4,,,,,,,,,,10193663
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,EMDT,12,,,135650228,Agonist,Full agonist,,,f,,"",pKi,,6.8,,,,,,,,,,10715164
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,FG-5893,13,,,135650260,Agonist,Full agonist,,,f,,"",pKi,,8.7,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,flesinoxan,1,,,135650267,Agonist,Full agonist,,,f,,"",pKi,,9.3,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"L-694,247",15,,,135650478,Agonist,Full agonist,,,f,,"",pKi,,9.3,,,,,,,,,,9205951
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"L-772,405",16,,,135650493,Agonist,Full agonist,,,f,,"",pIC50,,7.2,,,,,,,,,,10585208
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,lisuride,43,,,135650525,Agonist,Full agonist,,,f,,"",pKi,9.8,,9.7,,,,,,,,,9550290|9205951|12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"LY 165,163",18,,,135650543,Agonist,Full agonist,,,f,,"",pKi,,8.9,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY293284,19,,,135650546,Agonist,Full agonist,,,f,,"",pKi,,10.1,,,,,,,,,,11101361
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY334370,20,,,135650551,Agonist,Full agonist,,,f,,"",pKi,,7.8,,,,,,,,,,15900510
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY344864,21,,,135650553,Agonist,Full agonist,,,f,,"",pKi,,6.3,,,,,,,,,,9395253
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,Lysergide,17,,,135650536,Agonist,Full agonist,,,f,,"",pKi,,9,,,,,,,,,,12213075
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,nafadotride,44,,,135650679,Agonist,Full agonist,,,f,,"",pKi,,7.3,,-,,,,=,"",,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,naratriptan,45,,,135650691,Agonist,Full agonist,,,f,,"",pKi,7.6,,7.1,,,,,,,,,9205951|10193663
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,NLX-101,3924,,,178100753,Agonist,Full agonist,"",Selective,f,,"",pKi,,8.6,,-,,,,=,"","","",19154445
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ocaperidone,46,,,135650754,Agonist,Full agonist,,,f,,"",pKi,,8,,,,,,,,,,9065439
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,olanzapine,47,,,135650756,Agonist,Full agonist,,,f,,"",pKi,5.8,,5.6,,,,,,,,,9760039|8935801
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,quetiapine,50,,,135650869,Agonist,Full agonist,,,f,,"",pKi,6.6,,6.5,,,,,,,,,9760039|8935801
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,quinpirole,2,,,135650874,Agonist,Full agonist,,,f,,"",pKi,,5.8,,,,,,,,,,10431754
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,rizatriptan,51,,,135650905,Agonist,Full agonist,,,f,,"",pKi,,6.4,,,,,,,,,,10193663
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,RU 24969,23,,,135650950,Agonist,Full agonist,,,f,,"",pKi,,9,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-14506,24,,,135650958,Agonist,Full agonist,,,f,,"",pKi,9.7,,9.6,,,,,,,,,9760039|9550290
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-14671,25,,,135650959,Agonist,Full agonist,,,f,,"",pKi,10.5,,10.2,,,,,,,,,9760039|9550290
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,spiroxatrine,53,,,135651066,Agonist,Full agonist,,,f,,"",pKi,,8.8,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,sumatriptan,54,,,135651095,Agonist,Full agonist,,,f,,"",pKi,,6,,,,,,,,,,10193663
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[<sup>3</sup>H]8-OH-DPAT,31,,,135651130,Agonist,Full agonist,"",Not Determined,f,,"",pKd,9.4,,6,Kd,1000,,0.398,=,"","","",10431754|9550290|15628665|11101361
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[<sup>3</sup>H]NLX-112,3925,,,178100754,Agonist,Full agonist,"",Not Determined,f,,"",pKd,,8.9,,Kd,,1.4,,=,"","","",20799027
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,tandospirone,55,,,135651235,Agonist,Full agonist,,,f,,"",pKi,,8.2,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,U92016A,30,,,135651294,Agonist,Full agonist,,,f,,"",pKi,,9.7,,-,,,,=,"",,,7965808
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,xanomeline,57,,,135651331,Agonist,Full agonist,,,f,,"",pKi,,7.2,,,,,,,,,,9884068
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,zalospirone,58,,,135651354,Agonist,Full agonist,,,f,,"",pKi,,8.1,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,zolmitriptan,60,,,135651366,Agonist,Full agonist,,,f,,"",pKi,,6.6,,,,,,,,,,10193663
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,apomorphine,33,,,135649950,Agonist,Partial agonist,,,f,,"",pKi,,6.9,,-,,,,=,"",,,12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,aripiprazole,34,,,135649956,Agonist,Partial agonist,"",Not Determined,f,f,"",pKi,,8.19999980926514,,-,,,,=,"","","",12784105
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BMY-7378,9,,,135650009,Agonist,Partial agonist,,,f,,"",pIC50,8,,6.8,,,,,,,,,9048968
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BRL-15572,10,,,135650023,Agonist,Partial agonist,,,f,,"",pKi,,7.7,,,,,,,,,,9303567
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,bromocriptine,35,,,135650026,Agonist,Partial agonist,,,f,,"",pKi,,7.9,,,,,,,,,,12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,buspirone,36,,,135650035,Agonist,Partial agonist,"",Not Determined,f,t,"",pKi,8,,7.69999980926514,-,,,,=,"","","",1386736|9760039|9550290
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,capeserod,29,,,135651059,Agonist,Partial agonist,,,f,,"",pKi,,6,,,,,,,,,,12130738
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,fluparoxan,41,,,135650272,Agonist,Partial agonist,,,f,,"",pKi,,6.8,,,,,,,,,,10611634
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,GR 127935,14,,,135650312,Agonist,Partial agonist,,,f,,"",pKi,7.2,,7.1,,,,,,,,,9397179|9303567
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ipsapirone,42,,,135650411,Agonist,Partial agonist,,,f,,"",pKi,8.8,,8.6,,,,,,,,,9760039|9550290
5-HT<sub>1A</sub> receptor,1,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,lurasidone,7461,,,187051764,Agonist,Partial agonist,"",Not Determined,f,f,"",pKi,,8.17000007629395,,Ki,,6.75,,=,"","","",20404009
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pergolide,48,,,135650809,Agonist,Partial agonist,,,f,,"",pKi,,8.7,,,,,,,,,,12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,piribedil,49,,,135650833,Agonist,Partial agonist,,,f,,"",pKi,,6.4,,,,,,,,,,12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,roxindole,52,,,135650930,Agonist,Partial agonist,,,f,,"",pKi,9.9,,9.4,,,,,,,,,10431754|12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(R)-UH 301,3218,,,135650952,Agonist,Partial agonist,"",Not Determined,f,,"",pKi,,8.6,,Ki,,2.74,,=,"","","",9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-15535,26,,,135650960,Agonist,Partial agonist,,,f,,"",pKi,,9.2,,,,,,,,,,9550290
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S 16924,167,,,135650961,Agonist,Partial agonist,,,f,,"",pKi,,8.4,,,,,,,,,,9732398
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 216641,28,,,135650988,Agonist,Partial agonist,,,f,,"",pKi,,6.3,,,,,,,,,,9303567
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[<sup>3</sup>H]S-15535,32,,,135651202,Agonist,Partial agonist,,,f,,"",pKd,5.9,,5.8,,,,,,,,,9550290
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,terguride,56,,,135651246,Agonist,Partial agonist,,,f,,"",pKi,,8.5,,,,,,,,,,12388666
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vilazodone,7427,,,178103999,Agonist,Partial agonist,"",Not Determined,f,t,"",pIC50,,9.52000045776367,,IC50,,0.300000011920929,,=,"","","",15341484
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vilazodone,7427,,,178103999,Agonist,Partial agonist,"",Not Determined,f,t,"",pKi,,9.69999980926514,,Ki,,0.200000002980232,,=,Binding of vilazodone to human 5-HT<sub>1A</sub> receptors against [<sup></sup>3H]8-OH-DPAT (DPAT),"","",19499624
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vortioxetine,7351,,,178103923,Agonist,Partial agonist,"",Non-selective,f,t,"",pKi,,7.82000017166138,,Ki,,15,,=,"","","",21486038
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ziprasidone,59,,,135651359,Agonist,Partial agonist,,,f,,"",pKi,8.9,,7.9,,,,,,,,,9760039|8935801
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,RS-30199,104,,,135650942,Allosteric modulator,Positive,"",Not Determined,f,f,"",pKi,7.5,,7.09999990463257,-,,,,=,"","","",9707291
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,9-OH-risperidone,67,,,135649866,Antagonist,Antagonist,,,f,,"",pKi,,6.2,,,,,,,,,,8935801
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(+)-butaclamol,62,,,135650036,Antagonist,Antagonist,,,f,,"",pKi,,6.4,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,chlorpromazine,83,,,135650088,Antagonist,Antagonist,,,f,,"",pKi,,6.2,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,cyamemazine,84,,,135650143,Antagonist,Antagonist,"",Not Determined,f,,"",pKi,,6.3,,-,,,,=,"","","",12527336
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,fluspirilene,85,,,135650278,Antagonist,Antagonist,,,f,,"",pKi,,7.2,,,,,,,,,,8935801
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"GR 125,743",69,,,135650311,Antagonist,Antagonist,,,f,,"",pKi,,7.3,,,,,,,,,,9205951
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"GR 218,231",70,,,135650317,Antagonist,Antagonist,,,f,,"",pKi,,6.8,,,,,,,,,,10869410
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,haloperidol,86,,,135650345,Antagonist,Antagonist,,,f,,"",pKi,5.8,,5.7,,,,,,,,,9760039|9067310|8935801|9732398
5-HT<sub>1A</sub> receptor,1,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,iloperidone,87,,,135650377,Antagonist,Antagonist,,,f,,"",pKi,,6.8,,,,,,,,,,8997630
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,iloperidone,87,,,135650377,Antagonist,Antagonist,,,f,,"",pKi,,7,,,,,,,,,,11750183
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,<i>p</i>-MPPI,68,,,135650409,Antagonist,Antagonist,,,f,,"",pKi,,8.4,,,,,,,,,,15628665
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(<i>R</i>)-flurocarazolol,65,,,135650898,Antagonist,Antagonist,,,f,,"",pKi,,6.5,,,,,,,,,,11512051
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(<i>S</i>)-flurocarazolol,66,,,135651039,Antagonist,Antagonist,,,f,,"",pKi,,7.5,,,,,,,,,,11512051
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ketanserin,88,,,135650453,Antagonist,Antagonist,,,f,,"",pKi,,5,,,,,,,,,,1386736
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,mesoridazine,7227,,,178103801,Antagonist,Antagonist,"",Not Determined,f,f,"",pKi,,6.98000001907349,,Ki,,105,,=,"","","",15357957
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,methiothepin,89,,,135650584,Antagonist,Antagonist,,,f,,"",pKi,8.1,,7.8,,,,,,,,,9760039|9550290
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,MPDT,71,,,135650627,Antagonist,Antagonist,,,f,,"",pKi,,5.8,,,,,,,,,,10715164
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,NAN 190,73,,,135650690,Antagonist,Antagonist,,,f,,"",pKi,,9.4,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pimozide,90,,,135650825,Antagonist,Antagonist,,,f,,"",pKi,,6.8,,,,,,,,,,9760039
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pindolol,91,,,135650827,Antagonist,Antagonist,,,f,,"",pKi,,8.1,,,,,,,,,,9550290
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pipamperone,92,,,135650830,Antagonist,Antagonist,,,f,,"",pKi,,5.6,,,,,,,,,,8935801
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pizotifen,93,,,135650835,Antagonist,Antagonist,,,f,,"",pKi,,7.4,,,,,,,,,,9205951
5-HT<sub>1A</sub> receptor,1,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(-)-propranolol,63,,,135650859,Antagonist,Antagonist,,,f,,"",pKi,,7.5,,,,,,,,,,9205951
