Entry	Entry name	Status	Protein names	Gene names	Organism	Length
D6RCP7	U17LJ_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 19 (EC 3.4.19.12)	USP17L19	Homo sapiens (Human)	530
D6R901	U17LL_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 21 (EC 3.4.19.12)	USP17L21	Homo sapiens (Human)	530
Q16560	U1SBP_HUMAN	reviewed	U11/U12 small nuclear ribonucleoprotein 35 kDa protein (U11/U12 snRNP 35 kDa protein) (U11/U12-35K) (Protein HM-1) (U1 snRNP-binding protein homolog)	SNRNP35 HM1 U1SNRNPBP	Homo sapiens (Human)	246
P26368	U2AF2_HUMAN	reviewed	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	Homo sapiens (Human)	475
P54136	SYRC_HUMAN	reviewed	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS	Homo sapiens (Human)	660
Q8IWF7	U2D2L_HUMAN	reviewed	Putative ubiquitin-conjugating enzyme E2 D2-like protein (Ubiquitin carrier protein D2-like) (Ubiquitin-conjugating enzyme E2D N-terminal-like) (Ubiquitin-protein ligase D2-like)	UBE2DNL UBE2D2L	Homo sapiens (Human)	75
H0YL09	U2Q2L_HUMAN	reviewed	Putative ubiquitin-conjugating enzyme E2Q2-like protein	UBE2Q2L	Homo sapiens (Human)	131
A1L167	U2QL1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)	UBE2QL1	Homo sapiens (Human)	161
Q9BZF9	UACA_HUMAN	reviewed	Uveal autoantigen with coiled-coil domains and ankyrin repeats	UACA KIAA1561	Homo sapiens (Human)	1416
P62837	UB2D2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1)	UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B	Homo sapiens (Human)	147
P61077	UB2D3_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	UBE2D3 UBC5C UBCH5C	Homo sapiens (Human)	147
P51965	UB2E1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 E1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme E1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme E1) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1)	UBE2E1 UBCH6	Homo sapiens (Human)	193
P62253	UB2G1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 G1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G1) (E217K) (UBC7) (Ubiquitin carrier protein G1) (Ubiquitin-protein ligase G1) [Cleaved into: Ubiquitin-conjugating enzyme E2 G1, N-terminally processed]	UBE2G1 UBE2G	Homo sapiens (Human)	170
P68036	UB2L3_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3)	UBE2L3 UBCE7 UBCH7	Homo sapiens (Human)	154
Q712K3	UB2R2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 R2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R2) (Ubiquitin carrier protein R2) (Ubiquitin-conjugating enzyme E2-CDC34B) (Ubiquitin-protein ligase R2)	UBE2R2 CDC34B UBC3B	Homo sapiens (Human)	238
F5GYI3	UBA1L_HUMAN	reviewed	Ubiquitin-associated protein 1-like (UBAP-1L)	UBAP1L	Homo sapiens (Human)	381
Q9BSL1	UBAC1_HUMAN	reviewed	Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (E3 ubiquitin-protein ligase subunit KPC2) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2)	UBAC1 GBDR1 KPC2 UBADC1	Homo sapiens (Human)	405
Q9NZ09	UBAP1_HUMAN	reviewed	Ubiquitin-associated protein 1 (UBAP-1) (Nasopharyngeal carcinoma-associated gene 20 protein)	UBAP1 NAG20	Homo sapiens (Human)	502
Q5T6F2	UBAP2_HUMAN	reviewed	Ubiquitin-associated protein 2 (UBAP-2)	UBAP2 KIAA1491	Homo sapiens (Human)	1119
P49591	SYSC_HUMAN	reviewed	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	SARS SERS	Homo sapiens (Human)	514
P49459	UBE2A_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (hHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A)	UBE2A RAD6A	Homo sapiens (Human)	152
P63146	UBE2B_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 B (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme B) (RAD6 homolog B) (HR6B) (hHR6B) (Ubiquitin carrier protein B) (Ubiquitin-conjugating enzyme E2-17 kDa) (Ubiquitin-protein ligase B)	UBE2B RAD6B	Homo sapiens (Human)	152
P61088	UBE2N_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	UBE2N BLU	Homo sapiens (Human)	152
Q16763	UBE2S_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S)	UBE2S E2EPF OK/SW-cl.73	Homo sapiens (Human)	222
Q9NPD8	UBE2T_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (Cell proliferation-inducing gene 50 protein) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T)	UBE2T HSPC150 PIG50	Homo sapiens (Human)	197
Q9H832	UBE2Z_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 Z (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Z) (Uba6-specific E2 conjugating enzyme 1) (Use1) (Ubiquitin carrier protein Z) (Ubiquitin-protein ligase Z)	UBE2Z HOYS7	Homo sapiens (Human)	354
Q05086	UBE3A_HUMAN	reviewed	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	Homo sapiens (Human)	875
Q7Z3V4	UBE3B_HUMAN	reviewed	Ubiquitin-protein ligase E3B (EC 2.3.2.26) (HECT-type ubiquitin transferase E3B)	UBE3B	Homo sapiens (Human)	1068
Q15386	UBE3C_HUMAN	reviewed	Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (HectH2)	UBE3C KIAA0010 KIAA10	Homo sapiens (Human)	1083
Q7Z6J8	UBE3D_HUMAN	reviewed	E3 ubiquitin-protein ligase E3D (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase E3D) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein)	UBE3D C6orf157 H10BH UBE2CBP	Homo sapiens (Human)	389
Q14139	UBE4A_HUMAN	reviewed	Ubiquitin conjugation factor E4 A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 A)	UBE4A KIAA0126	Homo sapiens (Human)	1066
O95155	UBE4B_HUMAN	reviewed	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	UBE4B HDNB1 KIAA0684 UFD2	Homo sapiens (Human)	1302
P17480	UBF1_HUMAN	reviewed	Nucleolar transcription factor 1 (Autoantigen NOR-90) (Upstream-binding factor 1) (UBF-1)	UBTF UBF UBF1	Homo sapiens (Human)	764
O14562	UBFD1_HUMAN	reviewed	Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog)	UBFD1 UBPH	Homo sapiens (Human)	309
P0CB47	UBFL1_HUMAN	reviewed	Upstream-binding factor 1-like protein 1	UBTFL1 C11orf27	Homo sapiens (Human)	393
P0CB48	UBFL6_HUMAN	reviewed	Putative upstream-binding factor 1-like protein 6	UBTFL6	Homo sapiens (Human)	400
Q9Y5Z9	UBIA1_HUMAN	reviewed	UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (Transitional epithelial response protein 1)	UBIAD1 TERE1	Homo sapiens (Human)	338
Q8WU08	ST32A_HUMAN	reviewed	Serine/threonine-protein kinase 32A (EC 2.7.11.1) (Yet another novel kinase 1)	STK32A YANK1	Homo sapiens (Human)	396
Q13277	STX3_HUMAN	reviewed	Syntaxin-3	STX3 STX3A	Homo sapiens (Human)	289
P56962	STX17_HUMAN	reviewed	Syntaxin-17	STX17	Homo sapiens (Human)	302
Q12846	STX4_HUMAN	reviewed	Syntaxin-4 (Renal carcinoma antigen NY-REN-31)	STX4 STX4A	Homo sapiens (Human)	297
Q8N4C7	STX19_HUMAN	reviewed	Syntaxin-19	STX19	Homo sapiens (Human)	294
P02766	TTHY_HUMAN	reviewed	Transthyretin (ATTR) (Prealbumin) (TBPA)	TTR PALB	Homo sapiens (Human)	147
Q6NXR4	TTI2_HUMAN	reviewed	TELO2-interacting protein 2	TTI2 C8orf41	Homo sapiens (Human)	508
P33981	TTK_HUMAN	reviewed	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	TTK MPS1 MPS1L1	Homo sapiens (Human)	857
Q6ZVT0	TTL10_HUMAN	reviewed	Inactive polyglycylase TTLL10 (Tubulin--tyrosine ligase-like protein 10)	TTLL10	Homo sapiens (Human)	673
O95922	TTLL1_HUMAN	reviewed	Probable tubulin polyglutamylase TTLL1 (EC 6.-.-.-) (Tubulin polyglutamylase complex subunit 3) (PGs3) (Tubulin--tyrosine ligase-like protein 1)	TTLL1 C22orf7	Homo sapiens (Human)	423
Q14679	TTLL4_HUMAN	reviewed	Tubulin polyglutamylase TTLL4 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 4)	TTLL4 KIAA0173	Homo sapiens (Human)	1199
Q6EMB2	TTLL5_HUMAN	reviewed	Tubulin polyglutamylase TTLL5 (EC 6.-.-.-) (SRC1 and TIF2-associated modulatory protein) (Tubulin--tyrosine ligase-like protein 5)	TTLL5 KIAA0998 STAMP	Homo sapiens (Human)	1281
Q3SXZ7	TTLL9_HUMAN	reviewed	Probable tubulin polyglutamylase TTLL9 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 9)	TTLL9 C20orf125	Homo sapiens (Human)	439
Q5BVD1	TTMP_HUMAN	reviewed	TPA-induced transmembrane protein	TTMP C3orf52	Homo sapiens (Human)	217
Q9BTX7	TTPAL_HUMAN	reviewed	Alpha-tocopherol transfer protein-like	TTPAL C20orf121	Homo sapiens (Human)	342
P49638	TTPA_HUMAN	reviewed	Alpha-tocopherol transfer protein (Alpha-TTP)	TTPA TPP1	Homo sapiens (Human)	278
A0A075B6N1	TVB19_HUMAN	reviewed	T cell receptor beta variable 19	TRBV19	Homo sapiens (Human)	114
A0A0K0K1C4	TVB27_HUMAN	reviewed	T cell receptor beta variable 27	TRBV27	Homo sapiens (Human)	114
A0A576	TVB31_HUMAN	reviewed	T cell receptor beta variable 3-1	TRBV3-1 TCRBV9S1A1T	Homo sapiens (Human)	114
A0A0C4DH59	TVB54_HUMAN	reviewed	T cell receptor beta variable 5-4	TRBV5-4	Homo sapiens (Human)	114
P41252	SYIC_HUMAN	reviewed	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)	IARS	Homo sapiens (Human)	1262
P0DPF7	TVB63_HUMAN	reviewed	T cell receptor beta variable 6-3	TRBV6-3	Homo sapiens (Human)	114
A0A1B0GX49	TVB64_HUMAN	reviewed	T cell receptor beta variable 6-4	TRBV6-4	Homo sapiens (Human)	114
A0A0K0K1E9	TVB77_HUMAN	reviewed	T cell receptor beta variable 7-7	TRBV7-7	Homo sapiens (Human)	115
P04435	TVB79_HUMAN	reviewed	T cell receptor beta variable 7-9	TRBV7-9	Homo sapiens (Human)	115
Q06418	TYRO3_HUMAN	reviewed	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	Homo sapiens (Human)	890
P14679	TYRO_HUMAN	reviewed	Tyrosinase (EC 1.14.18.1) (LB24-AB) (Monophenol monooxygenase) (SK29-AB) (Tumor rejection antigen AB)	TYR	Homo sapiens (Human)	529
O14994	SYN3_HUMAN	reviewed	Synapsin-3 (Synapsin III)	SYN3	Homo sapiens (Human)	580
Q8NF91	SYNE1_HUMAN	reviewed	Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)	SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1	Homo sapiens (Human)	8797
Q6ZMZ3	SYNE3_HUMAN	reviewed	Nesprin-3 (KASH domain-containing protein 3) (KASH3) (Nuclear envelope spectrin repeat protein 3)	SYNE3 C14orf139 C14orf49 LINC00341	Homo sapiens (Human)	975
Q92777	SYN2_HUMAN	reviewed	Synapsin-2 (Synapsin II)	SYN2	Homo sapiens (Human)	582
Q9UMS6	SYNP2_HUMAN	reviewed	Synaptopodin-2 (Genethonin-2) (Myopodin)	SYNPO2	Homo sapiens (Human)	1093
Q9UMZ2	SYNRG_HUMAN	reviewed	Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin)	SYNRG AP1GBP1 SYNG	Homo sapiens (Human)	1314
P08247	SYPH_HUMAN	reviewed	Synaptophysin (Major synaptic vesicle protein p38)	SYP	Homo sapiens (Human)	313
Q5VXT5	SYPL2_HUMAN	reviewed	Synaptophysin-like protein 2	SYPL2	Homo sapiens (Human)	272
Q7L3T8	SYPM_HUMAN	reviewed	Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	PARS2	Homo sapiens (Human)	475
Q6NUM6	TYW1B_HUMAN	reviewed	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 2) (tRNA wybutosine-synthesizing protein 1 homolog B)	TYW1B RSAFD2	Homo sapiens (Human)	668
Q53H54	TYW2_HUMAN	reviewed	tRNA wybutosine-synthesizing protein 2 homolog (tRNA-yW-synthesizing protein 2) (EC 2.5.1.114) (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase)	TRMT12 TRM12 TYW2	Homo sapiens (Human)	448
Q6IPR3	TYW3_HUMAN	reviewed	tRNA wybutosine-synthesizing protein 3 homolog (tRNA-yW-synthesizing protein 3) (EC 2.1.1.282) (tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase)	TYW3 C1orf171	Homo sapiens (Human)	259
O60294	TYW4_HUMAN	reviewed	tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (Leucine carboxyl methyltransferase 2) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	LCMT2 KIAA0547 TYW4	Homo sapiens (Human)	686
A2RUC4	TYW5_HUMAN	reviewed	tRNA wybutosine-synthesizing protein 5 (hTYW5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	315
O15391	TYY2_HUMAN	reviewed	Transcription factor YY2 (Yin and yang 2) (YY-2) (Zinc finger protein 631)	YY2 ZNF631	Homo sapiens (Human)	372
P10074	TZAP_HUMAN	reviewed	Telomere zinc finger-associated protein (TZAP) (Krueppel-related zinc finger protein 3) (hKR3) (Zinc finger and BTB domain-containing protein 48) (Zinc finger protein 855)	ZBTB48 HKR3 TZAP ZNF855	Homo sapiens (Human)	688
Q7RTZ2	U17L1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 1 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 1) (Ubiquitin thioesterase 17-like protein 1) (Ubiquitin-specific-processing protease 17-like protein 1)	USP17L1 USP17L USP17L1P	Homo sapiens (Human)	530
A6NCW0	U17L3_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 3) (Ubiquitin thioesterase 17-like protein 3) (Ubiquitin-specific-processing protease 17-like protein 3)	USP17L3 USP17B USP17F	Homo sapiens (Human)	530
A6NCW7	U17L4_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4	USP17L4	Homo sapiens (Human)	530
A8MUK1	U17L5_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 5) (Ubiquitin thioesterase 17-like protein 5) (Ubiquitin-specific-processing protease 17-like protein 5)	USP17L5	Homo sapiens (Human)	530
C9JJH3	U17LA_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 10 (EC 3.4.19.12)	USP17L10	Homo sapiens (Human)	530
C9JVI0	U17LB_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 11 (EC 3.4.19.12)	USP17L11	Homo sapiens (Human)	530
C9J2P7	U17LF_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 15 (EC 3.4.19.12)	USP17L15	Homo sapiens (Human)	530
D6RBM5	U17LN_HUMAN	reviewed	Putative ubiquitin carboxyl-terminal hydrolase 17-like protein 23	USP17L23	Homo sapiens (Human)	183
Q0WX57	U17LO_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 24 (EC 3.4.19.12) (Deubiquitinating enzyme 17) (Ubiquitin thioesterase 17) (Ubiquitin-specific-processing protease 17)	USP17L24 USP17 USP17H USP17I USP17J USP17K USP17L USP17M; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30	Homo sapiens (Human)	530
Q01081	U2AF1_HUMAN	reviewed	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 small nuclear RNA auxiliary factor 1) (U2 snRNP auxiliary factor small subunit)	U2AF1 U2AF35 U2AFBP FP793	Homo sapiens (Human)	240
P0DN76	U2AF5_HUMAN	reviewed	Splicing factor U2AF 35 kDa subunit-like protein (U2 small nuclear RNA auxiliary factor 1-like protein 5)	U2AF1L5	Homo sapiens (Human)	240
Q15696	U2AFM_HUMAN	reviewed	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 2) (Renal carcinoma antigen NY-REN-20) (U2(RNU2) small nuclear RNA auxiliary factor 1-like 2) (U2AF35-related protein) (URP)	ZRSR2 U2AF1-RS2 U2AF1L2 U2AF1RS2 URP	Homo sapiens (Human)	482
Q86TS7	U730_HUMAN	reviewed	Putative UPF0730 protein encoded by LINC00643 (Long intergenic non-protein coding RNA 643)	LINC00643	Homo sapiens (Human)	51
Q3KQV9	UAP1L_HUMAN	reviewed	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 (EC 2.7.7.-)	UAP1L1	Homo sapiens (Human)	507
P51668	UB2D1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Stimulator of Fe transport) (SFT) (UBC4/5 homolog) (UbcH5) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1)	UBE2D1 SFT UBC5A UBCH5 UBCH5A	Homo sapiens (Human)	147
Q9Y2X8	UB2D4_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 D4 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme D4) (HBUCE1) (Ubiquitin carrier protein D4) (Ubiquitin-protein ligase D4)	UBE2D4 UBCH5D	Homo sapiens (Human)	147
Q96LR5	UB2E2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 E2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme E2) (UbcH8) (Ubiquitin carrier protein E2) (Ubiquitin-protein ligase E2)	UBE2E2 UBCH8	Homo sapiens (Human)	201
Q969T4	UB2E3_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 E3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme E3) (UbcH9) (Ubiquitin carrier protein E3) (Ubiquitin-conjugating enzyme E2-23 kDa) (Ubiquitin-protein ligase E3)	UBE2E3 UBCE4 UBCH9	Homo sapiens (Human)	207
Q13404	UB2V1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 variant 1 (UEV-1) (CROC-1) (TRAF6-regulated IKK activator 1 beta Uev1A)	UBE2V1 CROC1 UBE2V UEV1 P/OKcl.19	Homo sapiens (Human)	147
Q15819	UB2V2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 variant 2 (DDVit 1) (Enterocyte differentiation-associated factor 1) (EDAF-1) (Enterocyte differentiation-promoting factor 1) (EDPF-1) (MMS2 homolog) (Vitamin D3-inducible protein)	UBE2V2 MMS2 UEV2	Homo sapiens (Human)	145
P22314	UBA1_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	1058
